,5_n,5_p,5_l,6_n,6_p,6_l
0,IGKC,4.6365372428819796e-293,7.353982,IGKC,4.6365372428819796e-293,-7.353982
1,IGLC2,2.8604986793458797e-290,-7.1687794,IGLC2,2.8604986793458797e-290,7.1687794
2,IGLC3,1.2607665165598559e-256,-5.3942227,IGLC3,1.2607665165598559e-256,5.3942227
3,IGLC7,9.06091459977922e-91,-3.8431613,IGLC7,9.06091459977922e-91,3.8431613
4,IGLJ2,8.031119380750092e-80,-6.5949826,IGLJ2,8.031119380750092e-80,6.5949826
5,IGLL5,4.138956801763576e-42,-5.642445,IGLL5,4.138956801763576e-42,5.642445
6,IGLV6-57,4.1655361281828547e-32,-2.9797108,IGLV6-57,4.1655361281828547e-32,2.9797108
7,HSP90B1,3.495100358713205e-30,-0.8413182,HSP90B1,3.495100358713205e-30,0.8413182
8,MZB1,4.832591735632924e-30,-0.5770414,MZB1,4.832591735632924e-30,0.5770414
9,IGLV3-1,2.1280373758224497e-26,1.3388399,IGLV3-1,2.1280373758224497e-26,-1.3388399
10,DERL3,3.8630561941778775e-26,-0.59302807,DERL3,3.8630561941778775e-26,0.59302807
11,SEC11C,4.935852381631671e-24,-0.4781249,SEC11C,4.935852381631671e-24,0.4781249
12,SSR4,6.39240828305032e-24,-0.34235603,SSR4,6.39240828305032e-24,0.34235603
13,PRDX4,6.640114175000721e-23,-0.58110625,PRDX4,6.640114175000721e-23,0.58110625
14,NPC2,1.5640353100887523e-20,-0.62939715,NPC2,1.5640353100887523e-20,0.62939715
15,FKBP2,5.230231278133487e-20,-0.47080952,FKBP2,5.230231278133487e-20,0.47080952
16,HLA-C,5.770538353668982e-20,-0.4367521,HLA-C,5.770538353668982e-20,0.4367521
17,LMAN1,1.939750550472086e-19,-0.7625601,LMAN1,1.939750550472086e-19,0.7625601
18,IGLV2-14,4.031686620653585e-19,-4.2386856,IGLV2-14,4.031686620653585e-19,4.2386856
19,TMBIM6,4.951243318083635e-19,-0.6242192,TMBIM6,4.951243318083635e-19,0.6242192
20,FKBP11,5.372841241663289e-19,-0.57679397,FKBP11,5.372841241663289e-19,0.57679397
21,MYDGF,2.975025086649578e-17,-0.5143795,MYDGF,2.975025086649578e-17,0.5143795
22,IGKJ5,5.580706841849279e-17,2.9387214,IGKJ5,5.580706841849279e-17,-2.9387214
23,CD79A,7.544016083321502e-17,-0.538162,CD79A,7.544016083321502e-17,0.538162
24,SPCS2,1.3872952009222928e-16,-0.38145232,SPCS2,1.3872952009222928e-16,0.38145232
25,SELK,1.403923829478288e-16,-0.5277175,SELK,1.403923829478288e-16,0.5277175
26,HERPUD1,4.552115470732475e-16,-0.50905436,HERPUD1,4.552115470732475e-16,0.50905436
27,SPCS1,1.5251728732268594e-15,-0.36043614,SPCS1,1.5251728732268594e-15,0.36043614
28,SDF2L1,3.761050341222405e-15,-0.47957787,SDF2L1,3.761050341222405e-15,0.47957787
29,HSPA5,2.945046357641948e-14,-0.6845211,HSPA5,2.945046357641948e-14,0.6845211
30,ERLEC1,3.97386181653612e-14,-0.63700116,ERLEC1,3.97386181653612e-14,0.63700116
31,MANF,1.0688535250471307e-13,-0.50711364,MANF,1.0688535250471307e-13,0.50711364
32,SEL1L,1.3647064230775228e-13,-0.82379127,SEL1L,1.3647064230775228e-13,0.82379127
33,RPN2,2.952657152210072e-13,-0.5635494,RPN2,2.952657152210072e-13,0.5635494
34,B2M,3.3466371871033667e-13,-0.31318045,B2M,3.3466371871033667e-13,0.31318045
35,MALAT1,6.030269740264388e-13,-0.34227258,MALAT1,6.030269740264388e-13,0.34227258
36,RABAC1,7.360392950947531e-13,-0.4077216,RABAC1,7.360392950947531e-13,0.4077216
37,XBP1,1.5393746512521842e-12,-0.461851,XBP1,1.5393746512521842e-12,0.461851
38,ITM2C,2.8379516162816914e-12,-0.45159698,ITM2C,2.8379516162816914e-12,0.45159698
39,DNAJC1,5.840134661090657e-12,-0.5795126,DNAJC1,5.840134661090657e-12,0.5795126
40,PPIB,6.985305373183068e-12,-0.3495432,PPIB,6.985305373183068e-12,0.3495432
41,TMED10,8.244308176287313e-12,-0.47593793,TMED10,8.244308176287313e-12,0.47593793
42,SPCS3,1.4092779940490047e-11,-0.43726104,SPCS3,1.4092779940490047e-11,0.43726104
43,IGKV4-1,4.5309938000894356e-11,1.3631524,IGKV4-1,4.5309938000894356e-11,-1.3631524
44,CYBA,4.654534546401644e-11,-0.24230206,CYBA,4.654534546401644e-11,0.24230206
45,PDIA3,7.594003896631727e-11,-0.5652794,PDIA3,7.594003896631727e-11,0.5652794
46,TMEM59,1.1368508222063307e-10,-0.36583865,TMEM59,1.1368508222063307e-10,0.36583865
47,PDIA6,1.360410513488424e-10,-0.39211598,PDIA6,1.360410513488424e-10,0.39211598
48,NUCB2,1.5925931597791138e-10,-0.55966383,NUCB2,1.5925931597791138e-10,0.55966383
49,EMP3,2.616224262480858e-10,-0.4584675,EMP3,2.616224262480858e-10,0.4584675
50,TMEM258,3.312279314737295e-10,-0.2915977,TMEM258,3.312279314737295e-10,0.2915977
51,HLA-B,5.712305152444355e-10,-0.3321566,HLA-B,5.712305152444355e-10,0.3321566
52,KDELR2,7.194614688148295e-10,-0.52819544,KDELR2,7.194614688148295e-10,0.52819544
53,CD27,7.353753516330765e-10,-0.5381694,CD27,7.353753516330765e-10,0.5381694
54,CD74,1.069216944017204e-09,-0.36847427,CD74,1.069216944017204e-09,0.36847427
55,SERF2,1.1202753892046335e-09,-0.26363787,SERF2,1.1202753892046335e-09,0.26363787
56,MYL6,1.693572811558895e-09,-0.33979622,MYL6,1.693572811558895e-09,0.33979622
57,HLA-A,1.753654168654678e-09,-0.45000568,HLA-A,1.753654168654678e-09,0.45000568
58,VIMP,1.8857842890024933e-09,-0.38415796,VIMP,1.8857842890024933e-09,0.38415796
59,SRPRB,2.276986643199549e-09,-0.6245375,SRPRB,2.276986643199549e-09,0.6245375
60,COPE,2.2906789920079495e-09,-0.3744644,COPE,2.2906789920079495e-09,0.3744644
61,TXNDC15,2.502543139274877e-09,-0.50408506,TXNDC15,2.502543139274877e-09,0.50408506
62,LY96,3.0167150527514314e-09,-0.67652124,LY96,3.0167150527514314e-09,0.67652124
63,TRAM1,5.771791460773036e-09,-0.4348356,TRAM1,5.771791460773036e-09,0.4348356
64,GSTP1,7.562404266848254e-09,-0.40124017,GSTP1,7.562404266848254e-09,0.40124017
65,SSR3,7.666888160943318e-09,-0.29839027,SSR3,7.666888160943318e-09,0.29839027
66,FTH1,7.988832172163873e-09,-0.26936033,FTH1,7.988832172163873e-09,0.26936033
67,NDUFB11,1.1231765413300512e-08,-0.34234333,NDUFB11,1.1231765413300512e-08,0.34234333
68,ATRAID,1.459807655408651e-08,-0.47935715,ATRAID,1.459807655408651e-08,0.47935715
69,IGHA2,2.03433644296068e-08,0.86402285,IGHA2,2.03433644296068e-08,-0.86402285
70,HM13,2.0458532755416922e-08,-0.49565235,HM13,2.0458532755416922e-08,0.49565235
71,FTL,2.266049896994723e-08,-0.21714026,FTL,2.266049896994723e-08,0.21714026
72,OAZ1,5.26463670194636e-08,-0.20957765,OAZ1,5.26463670194636e-08,0.20957765
73,LGALS1,5.550260793941688e-08,-0.3898425,LGALS1,5.550260793941688e-08,0.3898425
74,VKORC1,7.301469260967284e-08,-0.595139,VKORC1,7.301469260967284e-08,0.595139
75,DNAJB9,9.357806566525243e-08,-0.43691838,DNAJB9,9.357806566525243e-08,0.43691838
76,COX7A2,1.1839702135793973e-07,-0.27181298,COX7A2,1.1839702135793973e-07,0.27181298
77,TPT1,1.2777689027447964e-07,-0.19845487,TPT1,1.2777689027447964e-07,0.19845487
78,FAM46C,1.3794056748543339e-07,-0.44055817,FAM46C,1.3794056748543339e-07,0.44055817
79,PRDX5,1.4362334372475526e-07,-0.36091727,PRDX5,1.4362334372475526e-07,0.36091727
80,SAT1,1.543312690463457e-07,-0.56942624,SAT1,1.543312690463457e-07,0.56942624
81,SEC61G,1.586284335439263e-07,-0.34187084,SEC61G,1.586284335439263e-07,0.34187084
82,PDIA4,1.6186856659898268e-07,-0.45733455,PDIA4,1.6186856659898268e-07,0.45733455
83,TMED9,1.7721580856864742e-07,-0.42436862,TMED9,1.7721580856864742e-07,0.42436862
84,LRPAP1,1.8177840551161673e-07,-0.5502743,LRPAP1,1.8177840551161673e-07,0.5502743
85,CRELD2,2.1959867896999302e-07,-0.3744376,CRELD2,2.1959867896999302e-07,0.3744376
86,LMAN2,2.4220323844226637e-07,-0.35934564,LMAN2,2.4220323844226637e-07,0.35934564
87,PLPP5,3.3196093487022457e-07,-0.3539861,PLPP5,3.3196093487022457e-07,0.3539861
88,SSR2,3.369870080850262e-07,-0.28412178,SSR2,3.369870080850262e-07,0.28412178
89,OST4,3.4184580794313306e-07,-0.20030771,OST4,3.4184580794313306e-07,0.20030771
90,SRSF9,3.8682527481475505e-07,-0.42842677,SRSF9,3.8682527481475505e-07,0.42842677
91,CUTA,4.0276746020402027e-07,-0.3003827,CUTA,4.0276746020402027e-07,0.3003827
92,REEP5,4.0417921464268335e-07,-0.36229315,REEP5,4.0417921464268335e-07,0.36229315
93,SERP1,4.505996209774514e-07,-0.26402596,SERP1,4.505996209774514e-07,0.26402596
94,ISCU,5.305526601566774e-07,-0.3894964,ISCU,5.305526601566774e-07,0.3894964
95,IGLL1,7.738338084365018e-07,-6.060858,IGLL1,7.738338084365018e-07,6.060858
96,DDX5,8.691824120325104e-07,-0.39079446,DDX5,8.691824120325104e-07,0.39079446
97,UBB,1.1241223098767023e-06,-0.24416563,UBB,1.1241223098767023e-06,0.24416563
98,TMED4,1.2696617894378492e-06,-0.52474797,TMED4,1.2696617894378492e-06,0.52474797
99,ARF4,1.510486959638759e-06,-0.43947038,ARF4,1.510486959638759e-06,0.43947038
100,LAPTM4A,1.7724688321672905e-06,-0.65773195,LAPTM4A,1.7724688321672905e-06,0.65773195
101,CD38,1.9108889156754104e-06,-0.4870133,CD38,1.9108889156754104e-06,0.4870133
102,OS9,2.24051456027248e-06,-0.565308,OS9,2.24051456027248e-06,0.565308
103,ATP5E,2.624945424367644e-06,-0.20944242,ATP5E,2.624945424367644e-06,0.20944242
104,ALG5,2.774422582819909e-06,-0.44746244,ALG5,2.774422582819909e-06,0.44746244
105,SUB1,2.9607431556907615e-06,-0.22560024,SUB1,2.9607431556907615e-06,0.22560024
106,OSTC,3.1163657104661174e-06,-0.35422885,OSTC,3.1163657104661174e-06,0.35422885
107,UBL5,3.178179758256089e-06,-0.29247853,UBL5,3.178179758256089e-06,0.29247853
108,IGKV3-20,3.7416089918457412e-06,1.6951076,IGKV3-20,3.7416089918457412e-06,-1.6951076
109,SARAF,3.811997555099052e-06,-0.35041672,SARAF,3.811997555099052e-06,0.35041672
110,RGS1,4.043798258851864e-06,-0.44315436,RGS1,4.043798258851864e-06,0.44315436
111,TRMT112,4.2781194577986525e-06,-0.3182086,TRMT112,4.2781194577986525e-06,0.3182086
112,COX7B,4.620659977960228e-06,-0.37010178,COX7B,4.620659977960228e-06,0.37010178
113,ERN1,4.871362773961124e-06,-0.5773253,ERN1,4.871362773961124e-06,0.5773253
