,5_n,5_p,5_l,6_n,6_p,6_l
114,COX6C,5.5312686081388e-06,-0.32149202,COX6C,5.5312686081388e-06,0.32149202
115,TMEM208,6.044887151840976e-06,-0.375096,TMEM208,6.044887151840976e-06,0.375096
116,ERP29,6.994562991459324e-06,-0.3195527,ERP29,6.994562991459324e-06,0.3195527
117,MEI1,7.019420425005618e-06,-0.5053575,MEI1,7.019420425005618e-06,0.5053575
118,PSMB1,7.201805048537756e-06,-0.32600555,PSMB1,7.201805048537756e-06,0.32600555
119,GLRX,8.202479168043013e-06,-0.49047643,GLRX,8.202479168043013e-06,0.49047643
120,GHITM,8.239958490060948e-06,-0.50327384,GHITM,8.239958490060948e-06,0.50327384
121,CALR,9.757699322081502e-06,-0.32770947,CALR,9.757699322081502e-06,0.32770947
122,NDUFA4,1.0259236720392548e-05,-0.2504093,NDUFA4,1.0259236720392548e-05,0.2504093
123,PSAP,1.1687241927643725e-05,-0.34988657,PSAP,1.1687241927643725e-05,0.34988657
124,MZT2B,1.4011763691187434e-05,-0.29960713,MZT2B,1.4011763691187434e-05,0.29960713
125,SDC1,1.4042975624293219e-05,-0.5384154,SDC1,1.4042975624293219e-05,0.5384154
126,PHPT1,1.428351744673287e-05,-0.31783623,PHPT1,1.428351744673287e-05,0.31783623
127,SEC62,1.873570734501961e-05,-0.2170821,SEC62,1.873570734501961e-05,0.2170821
128,FAU,1.9567878864925657e-05,-0.15688922,FAU,1.9567878864925657e-05,0.15688922
129,ATP5J,2.0479895878865567e-05,-0.27267775,ATP5J,2.0479895878865567e-05,0.27267775
130,RAB2A,2.1534517084204892e-05,-0.518405,RAB2A,2.1534517084204892e-05,0.518405
131,EIF1,2.273042362778568e-05,-0.18043369,EIF1,2.273042362778568e-05,0.18043369
132,DNAJC3,2.283852821814748e-05,-0.44320843,DNAJC3,2.283852821814748e-05,0.44320843
133,DERL2,2.4298747634210532e-05,-0.5392136,DERL2,2.4298747634210532e-05,0.5392136
134,AGA,2.543924200986042e-05,-0.8352089,AGA,2.543924200986042e-05,0.8352089
135,PSMA7,2.6877186912730133e-05,-0.3449406,PSMA7,2.6877186912730133e-05,0.3449406
136,BSG,3.147265455357015e-05,-0.40559208,BSG,3.147265455357015e-05,0.40559208
137,NDUFC2,3.160765980244761e-05,-0.2895385,NDUFC2,3.160765980244761e-05,0.2895385
138,COX6A1,3.253028120936209e-05,-0.25970918,COX6A1,3.253028120936209e-05,0.25970918
139,DDX18,3.5310374224659364e-05,-0.5569077,DDX18,3.5310374224659364e-05,0.5569077
140,P4HB,4.114094059775334e-05,-0.2778073,P4HB,4.114094059775334e-05,0.2778073
141,NDUFB3,4.3551168407032206e-05,-0.44592303,NDUFB3,4.3551168407032206e-05,0.44592303
142,SFT2D1,4.6341890026510996e-05,-0.43805647,SFT2D1,4.6341890026510996e-05,0.43805647
143,SNU13,5.047741901036704e-05,-0.3292471,SNU13,5.047741901036704e-05,0.3292471
144,CCPG1,5.275901177202156e-05,-0.50676024,CCPG1,5.275901177202156e-05,0.50676024
145,RER1,5.284907299354703e-05,-0.44952515,RER1,5.284907299354703e-05,0.44952515
146,NEAT1,5.839520258329197e-05,-0.3072063,NEAT1,5.839520258329197e-05,0.3072063
147,ATP6V0B,6.144004536183065e-05,-0.3177754,ATP6V0B,6.144004536183065e-05,0.3177754
148,ANKRD12,6.148626428651158e-05,-0.38640523,ANKRD12,6.148626428651158e-05,0.38640523
149,MRPL52,6.319596135761933e-05,-0.39201492,MRPL52,6.319596135761933e-05,0.39201492
150,CHCHD2,6.440492626870349e-05,-0.2338524,CHCHD2,6.440492626870349e-05,0.2338524
151,CD63,6.998397966199199e-05,-0.24160281,CD63,6.998397966199199e-05,0.24160281
152,IFNAR2,7.553920168449384e-05,-0.4228596,IFNAR2,7.553920168449384e-05,0.4228596
153,IGKV1-5,8.317039230834987e-05,2.5748816,IGKV1-5,8.317039230834987e-05,-2.5748816
154,DDOST,8.343227477293968e-05,-0.30433065,DDOST,8.343227477293968e-05,0.30433065
155,ATP5B,8.611020689329766e-05,-0.43217665,ATP5B,8.611020689329766e-05,0.43217665
156,SIL1,8.875464948968916e-05,-0.46498528,SIL1,8.875464948968916e-05,0.46498528
157,UBE2J1,8.877100699269164e-05,-0.23775652,UBE2J1,8.877100699269164e-05,0.23775652
158,C14ORF2,9.267796569905587e-05,-0.24248387,C14ORF2,9.267796569905587e-05,0.24248387
159,CISD2,9.699564278349019e-05,-0.41289103,CISD2,9.699564278349019e-05,0.41289103
160,SEC61B,9.788884278545023e-05,-0.1821495,SEC61B,9.788884278545023e-05,0.1821495
161,C10ORF54,9.980817364476144e-05,-0.60442483,C10ORF54,9.980817364476144e-05,0.60442483
162,NDUFA1,0.00010804329368933794,-0.24103074,NDUFA1,0.00010804329368933794,0.24103074
163,ERGIC3,0.00010947000634618117,-0.2635958,ERGIC3,0.00010947000634618117,0.2635958
164,HLA-E,0.00011109629832295409,-0.22918662,HLA-E,0.00011109629832295409,0.22918662
165,CD79B,0.00011254053247807775,-0.45116633,CD79B,0.00011254053247807775,0.45116633
166,H3F3B,0.00011406462786019179,-0.27085474,H3F3B,0.00011406462786019179,0.27085474
167,PIM2,0.00011838908766124548,-0.32278597,PIM2,0.00011838908766124548,0.32278597
168,CHPF,0.00013119274516853877,-0.47734886,CHPF,0.00013119274516853877,0.47734886
169,RPN1,0.0001315479327501022,-0.44919318,RPN1,0.0001315479327501022,0.44919318
170,NDUFAB1,0.00013195157404139496,-0.37555912,NDUFAB1,0.00013195157404139496,0.37555912
171,UBXN4,0.00013827218225192982,-0.3189912,UBXN4,0.00013827218225192982,0.3189912
172,DYNLRB1,0.00014307028203719717,-0.47230232,DYNLRB1,0.00014307028203719717,0.47230232
173,CD48,0.00014399688688302532,0.36750063,CD48,0.00014399688688302532,-0.36750063
174,TXNDC11,0.00015034706623125944,-0.40926605,TXNDC11,0.00015034706623125944,0.40926605
175,TAPBPL,0.0001665789745832215,-0.5822186,TAPBPL,0.0001665789745832215,0.5822186
176,ARPC3,0.00017162420769489093,-0.27675784,ARPC3,0.00017162420769489093,0.27675784
177,ICAM3,0.0001822777262127796,-0.3571829,ICAM3,0.0001822777262127796,0.3571829
178,POU2AF1,0.00018425368726991155,-0.39135793,POU2AF1,0.00018425368726991155,0.39135793
179,IL2RG,0.00018474265464857323,-0.5387441,IL2RG,0.00018474265464857323,0.5387441
180,PPA1,0.0001876690432425319,-0.4429239,PPA1,0.0001876690432425319,0.4429239
181,ZNF706,0.00020823490339220405,-0.26058722,ZNF706,0.00020823490339220405,0.26058722
182,ATP5I,0.00022185817894329287,-0.25640938,ATP5I,0.00022185817894329287,0.25640938
183,ATP6V1G1,0.00023195223988406777,-0.29796353,ATP6V1G1,0.00023195223988406777,0.29796353
184,PTMA,0.00023438915820922103,-0.16154851,PTMA,0.00023438915820922103,0.16154851
185,DAD1,0.0002458262494579284,-0.2607257,DAD1,0.0002458262494579284,0.2607257
186,FIS1,0.0002468097418191124,-0.35235393,FIS1,0.0002468097418191124,0.35235393
187,EIF1AY,0.0002605659723843275,-0.74743646,EIF1AY,0.0002605659723843275,0.74743646
188,IFT27,0.00026552293893064517,-0.6743107,IFT27,0.00026552293893064517,0.6743107
189,JTB,0.00027622647481019433,-0.22244808,JTB,0.00027622647481019433,0.22244808
190,SAR1A,0.00027866466066688174,-0.53297454,SAR1A,0.00027866466066688174,0.53297454
191,ZNHIT1,0.0002929166276241577,-0.37486365,ZNHIT1,0.0002929166276241577,0.37486365
192,HMGB1,0.0002946315558228745,-0.24175131,HMGB1,0.0002946315558228745,0.24175131
193,IGHG1,0.00030922221051475906,-1.2649938,IGHG1,0.00030922221051475906,1.2649938
194,CD320,0.00033091255358558606,-0.5407164,CD320,0.00033091255358558606,0.5407164
195,SLAMF7,0.0003357951411565941,-0.43826687,SLAMF7,0.0003357951411565941,0.43826687
196,GTF3A,0.0003439464257636763,-0.2881686,GTF3A,0.0003439464257636763,0.2881686
197,SRP19,0.0003540803696408947,-0.5539032,SRP19,0.0003540803696408947,0.5539032
198,CYC1,0.00035420053070579706,-0.47279355,CYC1,0.00035420053070579706,0.47279355
199,UQCRH,0.0003643079107889857,-0.21542098,UQCRH,0.0003643079107889857,0.21542098
200,SELM,0.0003799757474583835,-0.28471604,SELM,0.0003799757474583835,0.28471604
201,PSMB2,0.00038216335660206654,-0.48471045,PSMB2,0.00038216335660206654,0.48471045
202,PSMD8,0.0004029303226660268,-0.3536536,PSMD8,0.0004029303226660268,0.3536536
203,CCNC,0.00042049540813952305,-0.5726629,CCNC,0.00042049540813952305,0.5726629
204,ATP5J2,0.00042503269051614567,-0.2918442,ATP5J2,0.00042503269051614567,0.2918442
205,EHMT1,0.00045089101590218325,-0.4598472,EHMT1,0.00045089101590218325,0.4598472
206,ANKRD28,0.00045763843410328176,-0.34564662,ANKRD28,0.00045763843410328176,0.34564662
207,MTDH,0.0004669630966832727,-0.27445853,MTDH,0.0004669630966832727,0.27445853
208,UBA52,0.0005249131007421321,-0.15872408,UBA52,0.0005249131007421321,0.15872408
209,GYPC,0.000526389887218441,-0.25759292,GYPC,0.000526389887218441,0.25759292
210,RTN3,0.0005404800108079672,-0.64635515,RTN3,0.0005404800108079672,0.64635515
211,SRM,0.000543877663546939,-0.30833882,SRM,0.000543877663546939,0.30833882
212,EDF1,0.000555926782815439,-0.18187118,EDF1,0.000555926782815439,0.18187118
213,ERGIC2,0.00058392817416793,-0.45652884,ERGIC2,0.00058392817416793,0.45652884
214,POMP,0.000584982946242706,-0.30084714,POMP,0.000584982946242706,0.30084714
215,CTSS,0.0005979752039897864,-0.368504,CTSS,0.0005979752039897864,0.368504
216,SAP18,0.0006420260668390541,-0.31369716,SAP18,0.0006420260668390541,0.31369716
217,CLEC2B,0.0006487561714809568,-0.75544196,CLEC2B,0.0006487561714809568,0.75544196
218,C19ORF53,0.0006595107241076175,-0.26570964,C19ORF53,0.0006595107241076175,0.26570964
219,DYNLL1,0.0006690159342076745,-0.26996794,DYNLL1,0.0006690159342076745,0.26996794
220,ATP6V1F,0.0006698863304081383,-0.38505152,ATP6V1F,0.0006698863304081383,0.38505152
221,MORF4L1,0.0006831801173037215,-0.4112433,MORF4L1,0.0006831801173037215,0.4112433
222,PRELID1,0.0006838456522495613,-0.26797658,PRELID1,0.0006838456522495613,0.26797658
223,MLEC,0.00071108161130557,-0.3767622,MLEC,0.00071108161130557,0.3767622
224,SRP14,0.0007125790430122939,-0.21043468,SRP14,0.0007125790430122939,0.21043468
225,FXYD5,0.000717901205697436,-0.37201536,FXYD5,0.000717901205697436,0.37201536
226,TIMP1,0.0007195283101242532,0.49970204,TIMP1,0.0007195283101242532,-0.49970204
227,H2AFZ,0.0007409948032336235,-0.28991774,H2AFZ,0.0007409948032336235,0.28991774
228,NENF,0.0007673664648737158,-0.34847718,NENF,0.0007673664648737158,0.34847718
229,GNAS,0.0007869868531052547,-0.2837303,GNAS,0.0007869868531052547,0.2837303
230,PRDX1,0.0008079785253560994,-0.34262946,PRDX1,0.0008079785253560994,0.34262946
231,MYL12A,0.0008240619591800778,-0.35402867,MYL12A,0.0008240619591800778,0.35402867
232,IGLV3-25,0.0008312163749896808,-3.7288165,IGLV3-25,0.0008312163749896808,3.7288165
233,TCF25,0.0008392332804889695,-0.3124842,TCF25,0.0008392332804889695,0.3124842
234,RWDD1,0.0008496267288749709,-0.33511183,RWDD1,0.0008496267288749709,0.33511183
235,MCTS1,0.0008656480820689585,-0.4904889,MCTS1,0.0008656480820689585,0.4904889
236,ATP1B3,0.0008724407390598224,-0.7040759,ATP1B3,0.0008724407390598224,0.7040759
237,B4GALT3,0.0009208054732206507,-0.4502325,B4GALT3,0.0009208054732206507,0.4502325
238,MPC1,0.0009218298432500956,-0.4421431,MPC1,0.0009218298432500956,0.4421431
239,UXT,0.000934056700677274,-0.2824709,UXT,0.000934056700677274,0.2824709
240,TECR,0.0009410468005597466,-0.3209198,TECR,0.0009410468005597466,0.3209198
241,HAX1,0.0009641388603529458,-0.34911108,HAX1,0.0009641388603529458,0.34911108
242,DHRS7,0.000988847945591436,-0.5201149,DHRS7,0.000988847945591436,0.5201149
243,LINC00152,0.0010210414592125628,-0.3327721,LINC00152,0.0010210414592125628,0.3327721
244,MAN1A1,0.0010553637800536696,-0.6924072,MAN1A1,0.0010553637800536696,0.6924072
245,USMG5,0.0011186206960735546,-0.22959864,USMG5,0.0011186206960735546,0.22959864
246,VDAC2,0.0011244138386556047,-0.40328673,VDAC2,0.0011244138386556047,0.40328673
247,EIF2S2,0.0011286444413515827,-0.29699683,EIF2S2,0.0011286444413515827,0.29699683
248,SH3GLB1,0.0011548796214637164,-0.4129819,SH3GLB1,0.0011548796214637164,0.4129819
249,ATP6V0E1,0.0011715844841610657,-0.2408848,ATP6V0E1,0.0011715844841610657,0.2408848
250,ISG20,0.001171767279252199,-0.16778997,ISG20,0.001171767279252199,0.16778997
251,UFM1,0.0011756120694010332,-0.37160128,UFM1,0.0011756120694010332,0.37160128
252,DPP7,0.0011853674829873705,-0.3057803,DPP7,0.0011853674829873705,0.3057803
253,PSME1,0.001193337152351717,-0.20194747,PSME1,0.001193337152351717,0.20194747
254,YWHAB,0.0012094252053880213,-0.42979592,YWHAB,0.0012094252053880213,0.42979592
255,ATF4,0.001232400138007021,-0.24486718,ATF4,0.001232400138007021,0.24486718
256,NCF4,0.001245487916136235,-0.6449273,NCF4,0.001245487916136235,0.6449273
257,RALY,0.001271457812975684,-0.45379913,RALY,0.001271457812975684,0.45379913
258,TSC22D3,0.0012997361941407047,-0.18826248,TSC22D3,0.0012997361941407047,0.18826248
259,ARL1,0.0013689756370487143,-0.56279624,ARL1,0.0013689756370487143,0.56279624
260,FCGR2B,0.0014349770377187745,-0.92772645,FCGR2B,0.0014349770377187745,0.92772645
261,SSR1,0.0014531554163428296,-0.3424843,SSR1,0.0014531554163428296,0.3424843
262,FAM3C,0.0014849103667457526,-0.37880945,FAM3C,0.0014849103667457526,0.37880945
263,PGK1,0.0015505833671232083,-0.49232417,PGK1,0.0015505833671232083,0.49232417
264,POLR2K,0.0015612692180625028,-0.45163855,POLR2K,0.0015612692180625028,0.45163855
265,UQCR11,0.00157154345907569,-0.20489797,UQCR11,0.00157154345907569,0.20489797
266,SUMO2,0.0015845341665344126,-0.26272053,SUMO2,0.0015845341665344126,0.26272053
267,RANBP1,0.0016046942315984794,-0.38741344,RANBP1,0.0016046942315984794,0.38741344
268,SLC3A2,0.0017018475319219488,-0.47678986,SLC3A2,0.0017018475319219488,0.47678986
269,NDUFB10,0.0017464753181504955,-0.26762432,NDUFB10,0.0017464753181504955,0.26762432
270,H3F3A,0.0017520294915956036,-0.18096934,H3F3A,0.0017520294915956036,0.18096934
271,NDUFB4,0.001766119461199166,-0.21926546,NDUFB4,0.001766119461199166,0.21926546
272,ATP5A1,0.0017929883815182071,-0.2537745,ATP5A1,0.0017929883815182071,0.2537745
273,SLC25A6,0.0018008503536722103,-0.13196641,SLC25A6,0.0018008503536722103,0.13196641
274,EIF1AX,0.0018254517646330859,-0.43205,EIF1AX,0.0018254517646330859,0.43205
275,UQCRQ,0.0018425786523984212,-0.20039412,UQCRQ,0.0018425786523984212,0.20039412
276,EEF1D,0.001856777438357006,-0.14740098,EEF1D,0.001856777438357006,0.14740098
277,CTSH,0.00191544583380231,-0.44707623,CTSH,0.00191544583380231,0.44707623
278,HNRNPDL,0.0019327666507560298,-0.35892063,HNRNPDL,0.0019327666507560298,0.35892063
279,TMA7,0.001975812189049923,-0.1785578,TMA7,0.001975812189049923,0.1785578
280,SRP54,0.0019918446003798335,-0.56943756,SRP54,0.0019918446003798335,0.56943756
281,CALM1,0.0020161171958908673,-0.27133432,CALM1,0.0020161171958908673,0.27133432
282,NDUFB7,0.0020254783087918808,-0.22425371,NDUFB7,0.0020254783087918808,0.22425371
283,USP16,0.002117837115027561,-0.4220607,USP16,0.002117837115027561,0.4220607
284,ENY2,0.002162074678505353,-0.3737597,ENY2,0.002162074678505353,0.3737597
285,SYTL1,0.002170442784647624,-0.5657128,SYTL1,0.002170442784647624,0.5657128
286,MRPL51,0.002188242465731164,-0.2399072,MRPL51,0.002188242465731164,0.2399072
287,PSME2,0.0021957255663291996,-0.24145375,PSME2,0.0021957255663291996,0.24145375
288,TPD52,0.002239459297216701,-0.27210364,TPD52,0.002239459297216701,0.27210364
289,HNRNPA3,0.002270848705138276,-0.36921436,HNRNPA3,0.002270848705138276,0.36921436
290,SH3BGRL3,0.0022809511295642185,-0.2765832,SH3BGRL3,0.0022809511295642185,0.2765832
