,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
0,IGHM,0.0,3.606109,TCL1A,0.0,-6.895035,MALAT1,3.2973070921524704e-282,-2.22017,B2M,1.025937831157491e-128,-1.4358798
1,IGHD,0.0,4.503123,B2M,0.0,0.9187281,GAPDH,4.209706329312281e-272,3.7200544,ACTG1,2.9785858699316044e-121,2.35302
2,TCL1A,0.0,3.5200198,RP5-887A10.1,8.546430629567819e-263,4.3830557,H2AFZ,3.178274043457085e-269,4.9816375,TXNIP,1.1603217686296962e-117,-3.673982
3,CD27,1.4498123164206225e-230,-4.892222,IGHM,2.98830596068993e-244,-2.875797,TUBB,6.601298535884063e-264,4.7738733,FTL,1.0405275602003945e-107,-1.8847891
4,TMSB10,1.0897424356099266e-200,0.9365172,IGHD,1.4685883092587084e-223,-4.4710636,HMGB2,6.217281627518044e-262,5.864502,EEF1A1,2.430729836363635e-106,-0.96184105
5,GAPDH,2.88460748685207e-191,-1.9569026,HLA-B,1.0812971607614178e-202,1.05168,STMN1,3.716878178639483e-259,6.7128863,FTH1,2.704188644827724e-97,-1.5076424
6,HLA-DRA,3.963179247327144e-186,0.84408855,TMSB10,3.4224818920744335e-145,-0.83398175,TUBA1B,4.62564127408385e-254,4.6051435,EEF1B2,1.2797311186415318e-94,-1.8045082
7,AL928768.3,2.2661402671547873e-169,-5.703764,HLA-C,2.6832678747666467e-134,1.3299036,H2AFV,4.906726065688108e-238,4.711687,TOMM7,8.256261397005944e-90,-1.9795324
8,EEF1D,1.2737496362064174e-162,0.6938334,TOMM7,6.902235852653259e-132,1.0273273,HMGN2,1.2952677769710148e-237,3.7357383,TPT1,2.0975678907956462e-81,-1.2925225
9,FCER2,5.374346769930698e-160,3.3200371,HLA-A,2.1115521982527695e-131,1.1786573,KIAA0101,4.8207702601886705e-236,7.3541713,RGS13,1.1728676362761398e-79,4.7907143
10,HLA-DPB1,1.1634824084786913e-156,1.0038096,AL928768.3,4.0948244599137826e-128,3.3814921,HMGB1,2.0346741415126834e-230,2.728789,MARCKSL1,3.7629825937772843e-78,2.818767
11,HLA-DPA1,2.17365695091482e-150,0.87587816,JCHAIN,3.534896496518494e-124,1.908753,PFN1,1.4418896790949628e-226,2.76594,FAU,4.40029330679629e-78,-1.1039423
12,CD52,1.8104739149157667e-149,0.8831886,IGHA1,3.3529666412447357e-103,1.4567316,CFL1,1.547669478820023e-216,2.3274627,CXCR4,3.681789316020573e-74,-1.7922935
13,JCHAIN,3.609542154446624e-141,-2.0083718,CD79B,3.977146718064239e-100,-1.0314614,ACTG1,4.420816743031331e-212,2.6487763,GAPDH,7.115455751555983e-72,2.0113063
14,COTL1,5.2459143940793756e-135,-1.9592398,CD27,2.332342021501116e-98,2.3901315,PTTG1,6.185623870511275e-207,5.6323547,PFDN5,1.222619390252835e-71,-1.4747986
15,ACTG1,3.0135058658758473e-121,-1.3419379,RGS2,1.3660764142364202e-95,2.2161207,TXNIP,1.5022280470009127e-206,-4.6097226,SERF2,5.354279047792121e-71,1.243632
16,BTG1,9.48430384452524e-120,0.76269007,TNFRSF13B,6.9978596627083825e-93,4.4036994,HLA-DRA,4.050189055259681e-204,-2.2697775,ARPC2,1.8759295824851786e-64,1.7589173
17,RGS2,4.594075034085315e-117,-2.3103292,H3F3A,3.4928040575845155e-87,-0.7521749,ACTB,1.882553637656146e-197,1.7938496,HLA-A,3.815168855805017e-64,-1.8472623
18,RP5-887A10.1,3.3283850201018708e-115,-3.0188065,FCER2,1.0411719322786514e-83,-2.688908,SLC25A5,9.942391945831482e-197,3.5129569,ATP5L,2.6297795831092153e-63,1.4451439
19,HLA-DRB1,3.3834506187391343e-108,0.8888431,MALAT1,1.9979378479452727e-81,0.4545888,SMC4,1.984400633019849e-192,4.8550467,ACTB,8.456985934765151e-63,1.0228624
20,RNASE6,9.728634587526987e-108,1.940712,VIM,3.3518384666591648e-80,2.0340662,DEK,1.724117642640544e-187,3.6383529,SLC25A5,2.7998594292182523e-60,2.300797
21,TXNIP,1.465987323500372e-106,1.4053109,FTL,1.0947176719822107e-79,0.7109396,DUT,2.051780340277541e-187,4.00189,BASP1,6.112516060918315e-58,2.8643765
22,SMARCB1,5.780569638065312e-106,-2.4560711,GPR183,3.0532121353827575e-79,2.276785,PTMA,1.3361641926638553e-183,1.1098562,KLF2,2.0480625414911526e-55,-4.0634985
23,IGHA1,5.052494788429304e-100,-1.4384899,SSPN,8.002165080189505e-75,5.011941,TYMS,8.54504091143505e-183,9.232147,LRMP,2.2578583000905388e-52,2.7998812
24,CD37,3.25130955330021e-97,0.7086662,TPT1,2.0225000599922594e-70,0.4014883,NUSAP1,3.9804396739276625e-180,7.375049,HMGN1,2.488203677009199e-51,1.6799861
25,LDHB,4.2219094755358117e-97,-1.7806045,DUSP1,5.0630363233754054e-61,1.2145646,RAN,1.946550047794717e-179,2.9746299,H3F3A,2.3615520349025692e-48,0.94192064
26,AIM2,5.898034026634008e-93,-4.4056954,KLF6,5.820906694021962e-61,1.3908558,CKS1B,1.407060032344341e-178,4.4047837,DUSP1,1.1126040036019617e-47,-2.1753557
27,ATP5L,4.8685504835128414e-92,-1.1370028,UBC,6.241620640225028e-61,1.0541756,MKI67,5.236339783757302e-178,9.153517,UBA52,1.4897586117196615e-46,-1.0677772
28,VIM,8.743301914387687e-92,-2.3705359,LAPTM5,1.6370837790200353e-60,-0.7349113,ARPC2,5.75080066169769e-177,2.568016,BTG1,3.451222950918054e-46,-1.1383586
29,CD79A,4.344502132583689e-91,0.7901257,EEF1A1,4.9838420793923695e-58,0.30146354,COX8A,6.772245882279649e-176,3.3384511,CD69,5.213028422927225e-46,-2.9493532
30,SRGN,1.8556581306437819e-90,-2.0743432,CLECL1,1.832191558800775e-57,2.7513926,RANBP1,9.499757759180204e-176,3.7500467,PARP1,7.191860061987698e-46,2.071994
31,NEAT1,5.174358304586431e-87,-1.7186066,DBI,4.784805366175929e-57,-1.4342693,BTG1,1.0779746344548064e-175,-1.7954623,NEIL1,8.640652313576204e-46,3.2977586
32,GLTSCR2,6.44099615112009e-85,0.65559196,BIRC3,1.2520348084422477e-56,-1.3385605,HN1,3.978538517912949e-174,4.163437,MALAT1,1.0658376709631255e-44,-0.6996817
33,B2M,6.049909599785479e-84,-0.058048606,TSC22D3,1.9931961655701977e-56,1.0296618,TUBB4B,3.20388073575673e-170,4.873287,GLTSCR2,1.1375641517279087e-44,-1.365838
34,RP11-693J15.5,8.702555944781529e-83,1.5326217,H3F3B,4.0274860152412784e-56,0.8470061,TPI1,5.026310460784925e-169,3.3037443,EEF1D,1.6637896352020137e-44,-1.042154
35,PFDN5,4.7952330829870283e-82,0.54612714,UQCRB,1.9239379923191644e-55,0.8219016,ANP32B,5.832250059828579e-168,3.066114,LIMD2,1.2257832449159646e-41,1.6821724
36,PLAC8,9.861567962223644e-82,1.9005525,AIM2,4.185831474177117e-53,2.6101327,HIST1H4C,4.027500010363988e-166,4.5856986,UBE2J1,8.75252007456438e-40,2.6425629
37,LINC00926,1.617278869066734e-80,1.5858335,CD72,1.966370803966093e-52,-2.1397254,PKM,4.8710548285023985e-166,3.5893877,HMCES,1.5014059684346623e-39,3.4377537
38,PKM,1.840877391914078e-80,-2.085105,IL4R,3.0310870005732795e-51,-3.9389513,FAU,4.152522358157627e-163,-0.8808618,SUGCT,8.333506061545531e-38,4.7297673
39,CD79B,4.456371901156944e-79,0.8699485,CLEC2D,2.399234368251745e-50,-1.7739749,BIRC5,7.745314549238918e-163,8.756649,ARPC1B,8.560728684014625e-38,1.6937646
40,LGALS1,3.028270932568461e-76,-3.3961527,RP11-231C14.7,6.931850290616164e-50,-2.5929554,EEF1A1,1.9337963992319257e-162,-0.89869535,CORO1A,2.4912615270023558e-37,1.2343704
41,SARAF,1.1434500827565185e-74,1.1634634,SEC62,1.274953386132906e-49,-0.9226489,TOP2A,1.041717339725352e-161,7.704633,CD27,6.877489991789913e-37,2.1553175
42,UBC,4.5128111893748717e-72,-1.2205869,YBX3,2.4214970010714796e-48,-3.719763,DNMT1,3.5035590563694486e-161,4.4039917,CD52,9.716243351941527e-37,-1.1748359
43,NDUFA4,2.944771636471137e-71,-1.2639277,SAT1,1.2644644513044157e-46,1.023888,COX5A,8.942595009128639e-161,3.3606803,TSC22D3,3.618222029574292e-36,-1.4857119
44,ARPC2,8.415889016341241e-70,-1.1173445,ACTB,1.9611642126897345e-46,-0.42191866,UBE2C,4.046034903688622e-160,8.877374,TMSB10,1.1716225072223775e-35,-1.1213772
45,YBX3,2.684792296017915e-69,3.5940487,HMGB1,5.277618018503437e-46,-0.5649737,LDHA,4.19783234260012e-160,3.7486506,UCP2,1.1977656886502973e-35,1.7233274
46,PFN1,2.8656321130306175e-69,-0.99232656,FTH1,1.0085452497932818e-44,0.4087849,CCDC167,1.4668667382961312e-159,4.143918,ARPC3,2.453307328433062e-35,0.8319542
47,CLECL1,1.9162616994593172e-68,-3.2674716,SRGN,1.0989925410812686e-42,1.4348376,PFDN5,5.250869267507941e-159,-1.4291649,CD79B,3.904216914570698e-35,1.1122532
48,HLA-C,1.0971586645516583e-66,-0.98515165,EEF1B2,1.8641849600092138e-42,0.51080436,TK1,5.0688583363687375e-158,7.9040728,SYNE2,4.829012146482257e-35,3.3366234
49,DAAM1,3.1116862795976413e-66,-3.0041003,NEAT1,2.0791273338053275e-42,1.2566653,CD37,6.934787404185356e-158,-2.0167072,PFN1,5.111524135706576e-35,1.1491517
50,LAPTM5,8.069088678904155e-66,0.6353876,CD24,5.700687434254877e-42,1.3580899,CDKN3,7.536271488445845e-158,8.210549,SERPINA9,1.3992212187662815e-34,4.8949018
51,SELL,5.382752713725191e-65,1.7738097,JUN,6.927654821759246e-42,1.0689145,CXCR4,1.3564144564185645e-157,-1.9850514,SARAF,3.7294904282168442e-34,-2.2406943
52,CD74,9.660434554086244e-65,0.46517897,S100A6,1.1120062347870989e-41,1.7376454,CALM3,2.1706327670790233e-157,3.8931143,RNASE6,6.217529915747695e-34,-3.7789478
53,H2AFZ,4.2764408303661914e-64,-1.7341576,CXCR4,1.5760383122772835e-41,0.6080882,HMGA1,3.4793772078943916e-154,3.7264013,MBD4,8.0692651819189e-34,1.9108657
54,HMGB2,1.0080320911004787e-62,-2.2949727,ATP6V0E1,6.859555662298822e-41,0.9368647,H2AFY,5.247173791574926e-154,3.7475386,KLHL6,9.955775801685564e-34,3.0291748
55,S100A10,2.152941591993392e-62,-2.2616205,CD79A,8.747485921258404e-39,-0.4026884,ATP5G3,3.4207161843919335e-153,3.1238856,LCP1,1.1121312442035772e-33,1.8395474
56,DUT,7.2553537038429125e-62,-1.8910389,S100A4,1.420652537653953e-38,1.8013351,RRM2,1.4436967192833406e-152,10.016624,HLA-B,1.0864104353864395e-32,-0.8392994
57,CFL1,3.039706375725407e-60,-0.8936561,TMEM123,3.1729282180644775e-38,-1.6551609,SNRPD1,2.8365926772570545e-151,3.2938924,METAP2,1.5600699073454746e-32,2.3328936
58,IGHA2,1.3007143928262613e-59,-1.9475358,FOSB,4.792959370867847e-37,1.3892604,MRPL51,3.4496736096272735e-150,3.286884,GCHFR,1.6681047088539331e-32,3.115671
59,UBE2J1,1.4926536560040238e-59,-2.5744987,LGALS1,8.659733575819811e-37,2.0759032,YWHAH,1.628648803222151e-148,4.3151,ISG20,2.2219252145587206e-32,1.4109173
60,TRAC,3.3477048965826645e-59,-2.384881,NCF1,1.0438703184317387e-36,-0.96922714,FTL,4.8238067094015936e-148,-1.6201963,JUN,4.3334068580937215e-32,-2.047987
61,H3F3B,6.252493212362283e-59,-0.9485231,ARID5B,2.302283559773917e-36,1.3840654,MYL6,7.960114417815863e-146,2.1728127,EZR,1.610117121872803e-31,1.8838605
62,CTSH,9.956399351084479e-59,-1.687205,ZFP36L2,8.48073177834248e-36,0.8338782,HMGN1,1.5841078384075836e-145,2.5700853,DAAM1,5.715902482939801e-31,2.458561
63,BIRC3,1.581183714123777e-57,1.2765363,NR4A2,1.4214985272420742e-35,1.7060535,ANAPC11,7.763827991917593e-144,3.412102,TKT,1.2778235483785588e-30,2.3314006
64,COX8A,1.8676532526589837e-57,-1.4806695,ABRACL,7.002903296776242e-35,-2.0241199,H3F3A,1.1359625192525673e-143,1.738132,TCEA1,1.733473634735026e-30,1.8619083
65,TPI1,4.842224029257407e-57,-1.4434186,PPP1R15A,2.1924727695886687e-34,1.2146577,SIVA1,1.1867704268290252e-143,3.513536,BANK1,3.5650678168228505e-30,-1.7908317
66,HSPA8,7.613358806477966e-57,-1.2147965,POMP,1.614756763292053e-33,-1.1334683,AURKB,6.029424877067156e-143,8.925416,PPP2CA,4.2102815314052336e-30,2.3082535
67,DYNLL1,8.152525150892691e-57,-1.3689615,CORO1A,2.479301665614131e-33,-0.49815014,HLA-DPB1,7.382855613638852e-143,-1.8841282,TMEM123,5.015049695263838e-30,1.9299592
68,RGS1,2.920349101956621e-56,-1.5550102,SLC25A5,3.45147615411659e-33,-1.0614815,CARHSP1,9.87017678719178e-143,3.4716141,SPATS2,5.1101081109320334e-30,3.1628551
69,RACK1,6.141144039364031e-56,0.33444202,APLP2,6.286194017127414e-33,-2.8661351,SNRPG,9.900269980395228e-142,3.0724442,ALOX5AP,8.496441622613604e-30,1.8304014
70,DEK,1.5580216755502962e-55,-1.5370319,YBX1,1.234714411584522e-32,-0.44210073,ZWINT,2.0285030724572563e-141,8.129229,RFTN1,1.918169754793096e-29,2.5802448
71,H2AFV,2.102220432289968e-55,-1.9213035,HLA-E,5.026561120677388e-32,0.6638301,CHCHD2,4.159999475641879e-141,2.2004318,ACTR3,4.490029395644158e-29,1.6098135
72,KLF6,9.124451736943156e-55,-1.2492244,BLOC1S2,8.02866503288014e-32,-1.5257304,SKA2,1.2691673421553328e-139,4.629653,LPP,1.0910924564674207e-28,2.7651546
73,ATP5G3,3.512369927382519e-54,-1.4098221,FOXP1,6.42696746647097e-30,-1.2584735,PPP1CA,2.1909055162678475e-139,3.036734,YWHAB,1.160311052929924e-28,1.4699665
74,SERF2,1.133757738838414e-53,-0.7144306,PTPRC,7.055039865078394e-29,-0.7459097,CENPM,1.6346559156652296e-137,3.6539047,ANP32B,1.2801423217640613e-28,1.5086782
75,COX5A,8.834209175394685e-53,-1.5400271,MS4A1,1.063503367271323e-28,-0.50111634,FABP5,3.027356025852894e-137,4.061008,ZFP36L2,2.081266696265917e-28,-1.4141446
76,TNFRSF13B,1.2691942701893873e-52,-3.8084695,CD22,1.2042786875518085e-28,-1.1671277,DDX39A,3.127642215667157e-136,3.4172854,PLAC8,3.886378714090435e-28,-4.733364
77,SEC62,2.0042858629932057e-52,0.7630239,HNRNPK,1.9068530464859033e-28,-0.73452437,UBE2T,5.141033948798958e-136,5.2872887,CD81,4.3954883948023e-28,2.2854848
78,VOPP1,8.583897695113253e-52,-2.14489,HLA-DRB1,3.1855240369410474e-28,-0.41218776,CD74,8.784899632689717e-136,-1.5838573,BCAS4,5.317073606775914e-28,1.8524907
79,BASP1,8.689730313749444e-52,-1.9515657,SMARCB1,3.5814611417853873e-28,1.2839313,SNRPB,2.999550534718972e-135,3.0311813,NACA,1.3236500190742073e-27,-0.91583484
80,FABP5,1.3424390953788523e-51,-2.9499397,PLP2,3.584615788166234e-28,1.5773451,RPA3,6.863070444246198e-135,3.159983,CFL1,1.4277772566041147e-27,0.8568977
81,POLR2L,3.1722984343436966e-51,-1.5328107,HMGN2,4.572758361631236e-28,-0.7140221,C12ORF75,1.2142828391835392e-134,4.191925,SRSF9,2.4198536595368135e-27,1.7390981
82,ATPIF1,4.0027489494260253e-51,-1.4405755,GSTP1,4.9220754440228385e-28,-1.2220751,PPIA,2.672356716614117e-134,2.016307,LINC00926,2.8340340767185226e-27,-2.7707846
83,SOD1,1.218495525431825e-50,-1.2480783,PTMA,6.672510051190599e-28,-0.19146973,PCNA,1.0725552813162364e-133,4.7342463,CCDC144A,3.18560778240887e-27,4.6881485
84,PTP4A2,2.7600506317735735e-50,-1.3872713,ZCCHC7,6.835788127925004e-28,-1.72195,ANP32E,6.5084066303467365e-133,3.4743564,RGS10,5.778159619973536e-27,2.1306484
85,HN1,2.9590322012405974e-50,-2.2076898,LTB,9.911210648077162e-28,0.70263165,MAD2L1,2.740951264354206e-132,5.914604,FXYD5,6.973217950722053e-27,-2.3544059
86,HMGA1,4.0000553495281253e-50,-1.855951,HNRNPA2B1,1.6289879291219906e-27,-0.52735615,CKS2,8.944951182392915e-132,3.493303,HLA-E,7.78614133678211e-27,-1.0380863
87,ATP5E,5.149379412097364e-50,-0.77444035,ZBTB16,3.0324105879813014e-27,-3.908639,HLA-DPA1,1.949906207899329e-131,-1.6683767,PKM,1.0131414312579966e-25,1.820477
88,FAU,1.7040720478694678e-49,0.30908406,TUBA1B,8.557597446469857e-27,-1.0102909,CDK1,1.5232788367312863e-129,8.878245,PRDX1,3.329987879872175e-25,1.5864124
89,HMGN1,9.749305978456623e-49,-1.0270054,ARHGAP24,2.1113938985979056e-26,1.0147339,ATP5J,6.331426090801903e-127,2.8648324,JUNB,3.7367169618741274e-25,-1.9167875
90,CALM2,1.1552825430223795e-48,-1.0698087,LY86,3.684103820184053e-26,0.92780596,DHFR,3.3027496115735684e-126,4.6527066,FCMR,4.567413524391696e-25,-2.6491225
91,RGS10,1.2484620389937288e-48,-2.0468066,HLA-DMA,5.890168595636512e-26,-0.6193909,NUDT1,3.182256424390636e-125,3.4978309,HMGA1,1.0460087009795375e-24,1.9060574
92,TMA7,3.479954759542786e-48,-0.9856243,CD44,6.227282927679836e-26,1.0699517,SMC2,6.20844806759293e-125,4.3780437,PRPSAP2,2.130213109153234e-24,2.9944227
93,ZBTB16,3.5572711232525976e-48,4.3598804,HVCN1,8.428479551401308e-26,-1.2820863,ATP5L,7.989320627441897e-124,1.8941127,CD38,2.2869006931646076e-24,2.4743574
94,ARPC1B,3.852983253455497e-47,-1.1327875,SCIMP,2.650962615900823e-25,1.9075488,PGAM1,1.8166183056972195e-122,3.1679618,PAG1,6.0374116043794646e-24,3.212471
95,TCEA1,4.950039207639928e-47,-1.3895851,TSPAN13,4.068569670832412e-25,-1.677801,DBI,2.3913660686675634e-122,2.7525613,LBR,1.1317123606457264e-23,2.0665607
96,ANP32B,1.0457446921879616e-46,-1.1628784,HLA-DMB,5.689519087829924e-25,-0.65448624,CD52,2.852873748983076e-122,-1.6049801,BCL7A,4.200271763510707e-23,2.544026
97,S100A4,5.083566724309802e-46,-2.3320124,SLC25A6,6.396049681624285e-25,0.59928846,HNRNPD,1.6540052341427878e-121,3.0209093,FOS,4.7250025642268615e-23,-1.7459799
98,SSPN,5.904161880612584e-46,-4.8978224,HNRNPA1,7.415824982246698e-25,-0.274928,DTYMK,1.08352052326176e-120,4.465433,MS4A1,8.398117957019809e-23,1.0172931
99,RAN,6.3193262018310044e-46,-1.117202,FKBP1A,8.128922326395379e-25,-1.1315844,LMNB1,5.0224712642223674e-120,4.6365967,RBM6,8.404499452897764e-23,1.8338326
100,TUBB,1.3871029257846551e-45,-1.461302,ISCU,1.3000341329168689e-24,1.0082109,MPC2,1.0770658987731895e-119,3.1411874,HLA-DPB1,9.300272606886516e-23,-0.9596613
101,CHCHD10,1.7847995028654448e-45,-1.1706587,PLPP5,1.7414913929794627e-24,-2.445705,TXNDC17,1.2019448011061703e-119,3.4917486,POU2AF1,2.633977085426344e-22,1.8002303
102,EZR,3.086064838720547e-45,-1.3072695,FAU,4.4672812865544165e-24,0.25418088,TPT1,1.5206852290047941e-119,-0.7197153,ATP5G3,5.269903684649031e-22,1.4688286
103,TCEB2,3.801882455937027e-45,-1.1923447,CCDC50,4.558749345196704e-24,1.6680291,DNAJC9,1.6995251630797853e-119,3.9342296,OAZ1,5.51912082378445e-22,0.43757474
104,PTTG1,1.991144935754554e-44,-3.6747239,ISG20,6.2428444524567545e-24,-0.5952272,PSMA7,2.2872748651907324e-119,2.633231,GCSAM,7.925550722254846e-22,2.800508
105,PHACTR1,4.325282926010854e-44,1.8072147,CAPG,1.3728367620149744e-23,1.7230284,ATPIF1,3.161235249123204e-119,2.8461306,PPP1CC,9.896837257141797e-22,1.7430415
106,HLA-B,5.835760815583407e-44,-0.43970737,STMN1,1.373057017185543e-23,-2.7909777,CENPF,2.344209150528141e-118,7.616671,RP11-231C14.7,1.0561461254403996e-21,1.7553108
107,MRPS6,1.0196805672679804e-43,-1.6538615,MEF2C,1.6200635687845736e-23,-0.66872656,BUB3,5.136535863750653e-118,3.1128957,IFITM2,1.7353404544319462e-21,-2.595744
108,UQCRB,2.2021980171419665e-43,-0.841856,ZBTB20,2.5378364252576524e-23,1.2352397,MZT2B,6.24497843068059e-117,2.648861,PTPN18,2.723181586802016e-21,2.167666
109,S100A6,2.718050175271402e-43,-1.8254832,CHCHD10,2.888440527576213e-23,0.9015094,CENPW,3.5597537394684263e-116,7.025141,DYNLL1,4.2429567662759216e-21,1.4154137
110,UQCR11,5.497305583226845e-43,-1.1292083,HNRNPA3,4.426111329606005e-23,-0.83988166,H2AFX,4.7313320998352e-116,4.2541637,PTPRC,4.8770998389617975e-21,1.2194386
111,PRDX2,6.629830483179064e-43,-1.8501422,UCP2,6.381268072129782e-23,-0.799586,PMVK,1.5345800344693023e-115,3.5575483,BRK1,5.096268073998936e-21,1.210392
112,SHFM1,7.1694794785735124e-43,-1.3104683,KLF2,1.0260920938070107e-22,0.8520409,MCM7,1.8804341127998623e-115,4.718666,H2AFV,1.3653413485954776e-20,1.6398911
113,UQCRQ,9.233204347498502e-43,-1.3131987,SAMSN1,1.0577921731790449e-22,2.0265903,LSM4,3.8640567334273164e-115,3.0981703,RFC1,1.6297453451661076e-20,1.9221168
114,PSMB9,3.06674258757936e-42,-1.1329485,HSPA1A,2.098527882719899e-22,1.0359945,GSTP1,5.702612282108319e-115,2.9116166,DBI,3.416007174351694e-20,1.3484958
115,IGHG1,3.218222340247148e-42,-2.8568647,CD48,2.16693789278986e-22,0.7381409,PPM1G,1.6830538324443672e-113,3.0865474,PRDX6,3.416493856528317e-20,1.6289542
116,PPP1CA,5.365153045837775e-42,-1.2747138,LIMD2,2.768432410464823e-22,-0.63777876,TFDP1,4.465282698194643e-113,4.175733,COX5A,8.274715077954019e-20,1.495876
117,HIST1H4C,6.835881184913454e-42,-1.566249,SIAH2,2.925244153237661e-22,-1.3359091,RAC1,9.114809754658865e-113,2.7884698,LYPLA1,1.0875155189353882e-19,1.7819297
118,COX6C,6.982051776218255e-42,-1.0168014,RHOH,2.968801895303782e-22,-0.7279574,IDH2,1.5453386975973404e-111,3.5259473,LMO2,2.1063007420102339e-19,4.0616455
119,GUK1,4.0570798969104984e-41,-1.3656573,MARCKS,3.196406840395483e-22,2.7734556,ARPC5,3.254059612528304e-111,2.6480713,ATP5J2,2.6924914989007065e-19,1.4103438
120,SLC25A5,6.510902719002058e-41,-1.1525736,COTL1,5.771669397548959e-22,0.8079111,S100A10,3.6255109093875355e-111,3.1102602,GMDS,3.6490529852874955e-19,3.4387465
121,GSTK1,7.756628966591558e-41,-1.3451825,CAMK2D,8.908247755565049e-22,-2.5373127,PRDX2,6.2614108725513486e-111,3.1161735,EML6,3.757813031506683e-19,4.2657247
122,HIGD2A,2.218964827665413e-40,-1.1062442,VOPP1,2.4172739196408565e-21,1.5643102,SERF2,2.710368642798058e-110,1.6232587,PTTG1,4.557774593222048e-19,2.163073
123,ODC1,3.129469384785165e-40,-1.5178105,HLA-DPA1,4.4661514770001995e-21,-0.2425459,NDUFS6,2.9798306806824436e-110,2.8695588,LDHB,4.841383515790937e-19,1.314549
124,PRDX1,3.942972674406205e-40,-1.175586,HSPA8,7.883152015730702e-21,0.73118234,LDHB,3.3764319231096755e-110,2.6073098,GGA2,6.895764207045388e-19,1.4533887
125,GPX4,4.819153430171834e-40,-1.1476077,HLA-DRA,2.1727465949716558e-20,-0.0373003,SRSF3,3.537586457202896e-110,2.5463018,SORL1,7.870083015844213e-19,2.215007
126,COX17,5.597956947138255e-40,-1.3807391,ARPC3,5.630118293724092e-20,-0.2717317,CBX5,4.816644642125282e-110,3.2588122,PNRC1,1.677453314644082e-18,-1.3933715
127,MZT2A,6.312995299399996e-40,-1.3428576,PHACTR1,7.246234764256479e-20,-1.2480977,TMPO,5.834531965020009e-110,3.2403286,CD48,1.8276665405414344e-18,-1.2067193
128,ANAPC11,7.323556450795084e-40,-1.5851471,RGS1,8.832790657063475e-20,1.0553168,UQCRQ,6.945725686090477e-110,2.7320452,REEP5,1.940985845485413e-18,1.4985708
129,MZT2B,7.65462724567136e-40,-1.1276983,RARRES3,1.1046386337371562e-19,1.2863245,GCHFR,1.0609638919989159e-109,3.9321582,MYL6,2.03982035795784e-18,0.862427
130,SAMSN1,9.24276200044587e-40,-2.6583467,LBR,1.133839300170096e-19,-1.6097091,PIN1,2.639430902547101e-109,3.3113062,SEL1L3,2.3352797090981384e-18,1.7306948
131,SEC61B,1.2083922662824623e-39,-1.1700546,EEF1D,2.1696679917553366e-19,-0.22937043,GTSE1,3.077549099513717e-109,8.193791,NANS,2.347963868315957e-18,2.0301757
132,PRDX6,1.562892683817513e-38,-1.3621074,BTLA,2.5287815442969594e-19,-1.6354259,ATP5J2,9.08030725750194e-109,2.6980727,GRHPR,3.9161767962503196e-18,2.3714685
133,FNBP1,4.558881435598377e-38,-1.1085559,EVI2B,7.776454228333656e-19,0.85277635,YWHAQ,1.3753944095191007e-108,2.8095183,HLA-DMA,3.929370753887906e-18,1.0361
134,CD99,4.898346763963379e-38,-1.3149097,CTSH,1.00624703598099e-18,1.0356503,NUCKS1,2.299978809696714e-108,2.6394103,IGHM,4.304411330938446e-18,-1.5131935
135,BTLA,9.77088172349784e-38,2.2451262,UBA52,1.23678677719556e-18,0.23534909,MND1,4.881138362972396e-108,6.191329,CELF2,5.685823666095514e-18,-2.614265
136,PSMB1,3.3561362461090458e-37,-1.1491897,HMCES,1.7354793985968053e-18,-4.9484344,ASF1B,5.753887610696158e-108,7.0569105,CTSH,6.3740841272968195e-18,1.5266083
137,LSP1,3.4883707274830468e-37,-1.0521475,MYL6,2.6921732780604786e-18,-0.3225943,RBX1,7.763540129107332e-108,2.6920235,CCDC69,7.640468894925502e-18,2.011206
138,POU2AF1,3.935714889346651e-37,-1.4929144,C6ORF48,4.0526559831503924e-18,0.6853957,RRM1,8.093976951112592e-108,4.7338963,ROMO1,9.933522325595658e-18,1.8274386
139,STMN1,4.666958165918978e-37,-2.6407137,PLEKHA2,9.916127960858262e-18,-1.4162998,CORO1A,1.8375637352007028e-107,1.9987924,DSTN,1.8281249880235666e-17,2.3253992
140,ZFAND6,5.947257112947464e-37,-1.5156106,CD69,1.3894024091678257e-17,0.7210245,CDT1,3.341938694896939e-107,7.04152,C14ORF166,2.3012217369318102e-17,1.3308915
141,UBE2N,7.51359023052127e-37,-1.2280798,SELL,1.478412367029885e-17,-0.90078634,PSMB3,4.1857435861290964e-107,2.750705,ARL6IP5,3.3022742325490247e-17,-1.5549519
142,KIAA0101,1.101594126959091e-36,-5.4312167,BACH2,1.6175279847985894e-17,-2.3884127,CDCA7,5.654134216796433e-107,5.133776,SEC14L1,4.068384542632189e-17,2.6245036
143,PTPN18,1.2349974599024543e-36,-2.0837092,EAF2,2.8388373529566336e-17,-1.385524,HSPB11,1.0387316851224954e-106,3.1164823,CCDC88A,4.390282401671907e-17,3.4576995
144,DUSP2,1.9083006417773387e-36,-1.5086238,IGHA2,3.209404863026172e-17,1.0813684,GNG5,2.6090706372950236e-106,2.6518166,CD44,4.641418655979832e-17,-2.5458302
145,YWHAH,3.67897720459748e-36,-2.8486075,SORL1,3.58556809429755e-17,-2.3614225,UBE2S,1.0846820535364625e-105,4.318144,NBEAL1,4.694298267490988e-17,-0.89917505
