,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
9676,RP11-385D13.3,0.7466201727377131,-0.05839733,OSGEPL1,0.8910347750828187,0.029805154,C1ORF106,0.566192376281646,4.299159,EHMT2,0.913545018613928,-0.22106697
9677,CTC-487M23.8,0.7471457187752095,-0.6023524,CAPS,0.891047319727655,0.4026511,TMEM63A,0.5664368042478086,-1.6155334,CPD,0.913545018613928,-0.23316172
9678,RP11-105N14.1,0.7471909325321955,-0.6828775,CRIPAK,0.8911163157616466,-0.5410429,JAM3,0.5674422062285389,-24.964043,SMN1,0.913545018613928,0.4166117
9679,NEIL2,0.7474735382174342,0.04200026,METRN,0.8911414054329869,0.32561737,ZNF532,0.5675147006366718,-0.18802772,TESK2,0.913581426187165,-0.6038374
9680,CRIP3,0.7476261594049419,0.03003857,ENAM,0.8912041300881247,-0.44812614,TAF1A,0.567523762749506,-0.49374223,USP9Y,0.9135935620852147,-0.15439247
9681,C7ORF43,0.7479879676550483,0.06997002,ERMAP,0.8912166751008623,-0.43240675,C15ORF39,0.567523762749506,0.78032196,TOP1MT,0.9137027860739583,-0.10110488
9682,DFFB,0.7482593602776499,-0.436084,SH2D3C,0.8912229476174425,0.110000685,LRRC27,0.5676868926279051,0.5523815,MAT2B,0.9137149221733556,-0.23313217
9683,IGLJ2,0.7489153545104374,-0.41544807,FBXL8,0.891241765208023,-0.38179797,RP11-162A12.4,0.5679950880717424,2.0049515,SPAG8,0.9137391944325053,1.9628776
9684,FCHSD2,0.7489492901939234,0.52400696,CCDC62,0.8912480377518287,-0.72257364,NCDN,0.5680313516217419,1.5374148,TMSB15A,0.9137756029720756,2.1492321
9685,KLHL2,0.7489888824391382,0.20883101,BMPR1A,0.891298218347237,1.3099178,SYCP2,0.5680313516217419,1.952149,CHPF2,0.9138120116925934,0.041986097
9686,XXBAC-BPGBPG55C20.2,0.749079381484062,0.1941584,EVI5,0.891373490056567,-0.058100067,PRDM10,0.5680494838121141,1.7271869,OVOS2,0.9138605569346266,1.7892708
9687,VPS36,0.7496167906958155,0.29075822,IQCC,0.8914424899833754,0.06288723,TSACC,0.5680494838121141,1.5161577,U91328.19,0.9138848296761682,1.6515545
9688,PKD2,0.7500185127725877,-0.9194482,AIP,0.8914675810696807,0.23329999,UGT2B17,0.5681945513028714,0.27939418,CTF1,0.9138848296761682,1.7350914
9689,NOXA1,0.7501316861664207,-0.9907602,ZC4H2,0.8916996787663992,0.5174537,MAP3K1,0.5686661429849051,-0.8576976,AGAP6,0.9138848296761682,-1.3621773
9690,ZNF485,0.7501430038016548,1.1418204,LEKR1,0.8917373171055487,-0.52054876,MAN2B1,0.5691197728632222,-2.3405232,CCDC136,0.9139091024980298,1.7621553
9691,CYSLTR1,0.7503863459639615,0.24479063,ARCN1,0.8917749556886053,0.070753515,POLR1B,0.5691379216522899,-0.11932945,CERK,0.9139212389390736,0.36091942
9692,FAM30A,0.7504599194154189,0.10889225,ZNF66,0.8918125945154851,-0.8653804,B3GNT7,0.5698187006752657,1.0595161,PLXND1,0.9139333754001889,1.504463
9693,ZNF480,0.750522175647082,0.19685549,AC025335.1,0.8918188676769976,-0.6174705,DDX60,0.5700820393263553,-0.49524722,TOLLIP,0.9140183311897648,-0.25298825
9694,LZTS2,0.750765556500999,-0.18908978,SLC35E2B,0.8918376872021544,0.10464356,TRIM61,0.5701819415779864,0.9060478,HOXB3,0.9140304678113518,1.4207361
9695,VPS54,0.7508787653505753,-0.17030689,OGFOD3,0.8918502335861044,0.2341624,INSR,0.5701910240146921,0.34389198,ADHFE1,0.9140304678113518,1.1286737
9696,CTSF,0.7513316543609225,-1.4637889,FAM219A,0.891856506788232,-0.7190771,LARGE1,0.5706088906385347,-3.6180716,BICDL2,0.9140547411146618,1.2808717
9697,ZBED6CL,0.7514845237452303,-1.1935325,AVEN,0.8919631522595619,-0.0928076,SMPD3,0.5708814909209514,3.7604587,GRHL1,0.9140547411146618,1.2385017
9698,PIK3C2B,0.751535482374234,0.7144488,ZNF300,0.891969425583451,-0.6548686,FHL2,0.5708814909209514,3.5197353,PRSS27,0.9141032879617476,1.0676209
9699,RP11-220I1.5,0.7515468066611536,-1.08866,AC123023.1,0.892025885802645,0.44999793,KLHL25,0.5708814909209514,3.7885084,RP11-72M17.1,0.9141032879617476,1.1168286
9700,TMEM184B,0.7515468066611536,-1.0400772,KHK,0.8920635262528728,0.07635724,ZNF468,0.5710178143120868,-0.061409976,AGBL2,0.9141518351293048,0.7722124
9701,HIST1H4I,0.7515807798429088,-0.96210843,TRIO,0.8922015433169546,-0.20210733,RP13-270P17.3,0.5710723480073454,-0.28897813,IGHV3-21,0.9141518351293048,1.0626277
9702,APOBEC3A,0.7516713773478303,-0.6903943,LINC00504,0.8922078168974834,-0.4921654,RP4-635E18.9,0.5716451014291118,1.1702626,RP11-368I7.4,0.9141518351293048,1.1791172
9703,PPP5D1,0.7518242683974784,-0.37308264,DDR1,0.892245458522311,0.30794755,LINC00936,0.5717997007287186,-0.78706354,RP11-1007O24.3,0.9141518351293048,1.0758632
9704,AMPD2,0.7519601797300272,-0.069262065,IFI6,0.8922642794257711,0.26668534,DDX58,0.5721453474918918,-0.40696967,HIST1H2AK,0.9141518351293048,0.82759094
9705,PLPP6,0.7522546806671757,-0.33348483,EEF2KMT,0.892339563646343,0.61233336,NPIPB4,0.5724455949365406,0.6219796,SIPA1L1,0.9141518351293048,-0.21377824
9706,SBF2,0.7528267951366004,-0.017591076,IGKV3-20,0.8923960274485467,0.79639304,ANKDD1A,0.5724455949365406,0.45765853,WIPI1,0.9142246564811314,-1.1670095
9707,RGPD1,0.7529174395984565,-1.6200935,SERINC5,0.8924775872369088,0.022436338,FAM170B,0.5726275994945905,2.0285046,TMC8,0.9142246564811314,-0.1476967
9708,MVB12B,0.7531327338457261,-0.714182,TTN,0.8926156140845223,0.6220615,LTBP4,0.5727186120747758,0.12305107,ZNF43,0.9142732044490809,-0.06037173
9709,ZNRF2,0.7532347220332781,0.24065469,TRNT1,0.8926218881094627,0.17044182,ZNF862,0.5727732229186191,1.4808192,LIN52,0.9143217527368728,0.37534142
9710,FAM172A,0.7532970502678521,0.28280973,APOBR,0.8926344361795047,-0.22172064,COBLL1,0.5729734838226606,-0.5926601,SETMAR,0.9143217527368728,-0.99714035
9711,ZNF587B,0.7533197154790691,1.5716814,ZNF841,0.8926971769328371,-0.5650725,USP32,0.5737930787362506,-0.36903048,MTFMT,0.9143824385461172,-0.22392905
9712,CAPS,0.7533707129815309,-0.5006481,ZNF501,0.8927034510451141,-0.48413342,RP11-147L13.14,0.5745585348105617,0.9679978,PGRMC1,0.914394575767872,0.1285822
9713,RP11-428G5.5,0.7538920824644213,0.07764811,AC079922.3,0.8927473700190638,-0.14284244,PPP1R13L,0.5748502641753016,1.0428888,SSH1,0.9145159490828697,-0.7434327
9714,CNIH3,0.7543228636401342,-2.0988479,CA13,0.8927536441850537,-0.3512825,LARGE2,0.5748684995865424,-4.449543,TMEM268,0.9147222882917108,-0.4455427
9715,IL10,0.7543455384524456,-1.9120507,NBEA,0.8927661925371699,0.7666289,MYO1D,0.57488673527137,0.92237914,SRGAP1,0.9147344260713418,-0.5367219
