,B-cells_n,Myeloid_n,Plasma_n,T/NK_n,Unk0_n,Unk1_n,Unk2_n,Unk3_n,Unk4_n
PTMA,1.0107882022857666,0.04027353972196579,-2.5847666263580322,0.18729817867279053,1.1355265378952026,-2.88885498046875,-0.3140360414981842,0.9057350754737854,0.12541408836841583
IGHA1,-0.8364623188972473,-1.6193431615829468,6.554337024688721,-2.911013603210449,-0.3027222156524658,-2.766786575317383,-0.8058560490608215,-1.57899010181427,-2.071769952774048
UBA52,1.4202479124069214,0.03593723475933075,-2.41153883934021,-0.030254391953349113,0.08540866523981094,-4.576533794403076,0.1027996614575386,-0.4730687439441681,0.23223713040351868
EEF1A1,1.8011250495910645,-0.9072121381759644,-2.349665641784668,-0.18556776642799377,0.11488041281700134,-2.58774995803833,0.04098718240857124,0.04049766808748245,0.6354566812515259
XBP1,-2.712430477142334,0.14514963328838348,4.280635356903076,-0.8091230392456055,-1.5218353271484375,-1.1610023975372314,1.5389022827148438,-0.031223135069012642,-1.152072548866272
PRDX4,-2.647441864013672,-0.4489842355251312,4.714230537414551,-2.2044365406036377,-1.0993068218231201,-0.4736749231815338,-1.099837303161621,0.9465683698654175,-0.5726120471954346
TMSB10,0.3840290606021881,1.7196037769317627,-2.9082443714141846,0.7904178500175476,-0.1727486401796341,-3.2324635982513428,0.7746340036392212,0.480173796415329,2.671023368835449
SEC11C,-2.4181935787200928,-1.105583906173706,4.027663230895996,-0.8937963247299194,0.18646736443042755,-0.8549925684928894,1.0556939840316772,-0.9198499321937561,-1.0019943714141846
IL32,-7.750049114227295,-4.353464126586914,-5.984152317047119,7.432459831237793,-1.2539600133895874,1.8020826578140259,-5.966914653778076,-0.3885210156440735,0.8305626511573792
CD3D,-7.551817893981934,-5.499176025390625,-6.3077616691589355,6.8781538009643555,-1.0863049030303955,3.7647271156311035,-5.920965671539307,-6.101935863494873,-3.1423020362854004
CD79A,3.8037612438201904,-6.30213737487793,0.7541813254356384,-7.152448654174805,1.3240422010421753,-6.805825233459473,-4.6135125160217285,-6.780848503112793,-6.62061882019043
CD7,-8.048974990844727,-4.671866416931152,-6.001048564910889,6.734280109405518,-1.1435405015945435,2.767641305923462,-3.253201961517334,-3.57119083404541,-4.422318935394287
CD74,3.5809109210968018,1.2577078342437744,-2.583819627761841,-3.4099771976470947,1.2384315729141235,-2.475548267364502,2.3935561180114746,-4.857419013977051,2.7439632415771484
CD2,-7.286287307739258,-3.949629068374634,-6.544551372528076,6.120922565460205,-0.9677079916000366,3.987135410308838,-2.4975266456604004,-4.448105335235596,-3.1834394931793213
HLA-DRA,4.945535182952881,2.9421944618225098,-6.68015193939209,-4.843435287475586,1.3974725008010864,-4.064988613128662,2.014024257659912,-3.8428046703338623,3.866755485534668
CD3E,-7.357278347015381,-5.129245281219482,-6.457394123077393,6.301194667816162,-0.9752256870269775,2.043367862701416,-3.36161470413208,-6.425375461578369,-3.2052152156829834
TRAC,-2.798348903656006,-5.932282447814941,-4.957606315612793,4.364303112030029,0.7070000171661377,3.5537545680999756,-4.7932562828063965,-4.979047775268555,-2.1592860221862793
ID2,-5.278738975524902,0.6102662086486816,-4.587380409240723,4.427707672119141,-0.07895796000957489,0.6983643770217896,-1.6059943437576294,0.10748447477817535,2.81862211227417
CCL5,-5.31606388092041,-4.095667839050293,-4.634740829467773,6.8185648918151855,-1.5356274843215942,0.3906192183494568,-4.945012092590332,-30.343833923339844,-4.3701043128967285
SRGN,-3.5669515132904053,3.3040664196014404,-0.6196882128715515,2.7289931774139404,-1.4014238119125366,2.6345388889312744,1.8418668508529663,-0.5149003267288208,1.0829126834869385
HLA-DPA1,3.456744432449341,1.942288875579834,-4.5570173263549805,-3.170522928237915,0.7245235443115234,-2.234995126724243,1.696834683418274,-4.145904064178467,3.311070203781128
B2M,0.2719576358795166,-0.01366335991770029,-1.4367979764938354,0.9742336869239807,-1.422654628753662,2.0564489364624023,0.2725328505039215,-1.8243683576583862,0.661363422870636
HLA-DRB1,3.1337199211120605,2.66819429397583,-5.111634731292725,-3.2549350261688232,0.8039398789405823,-2.744494915008545,1.8425636291503906,-4.618590831756592,2.9529783725738525
ACTG1,-0.427163302898407,0.9844473004341125,-3.119856119155884,1.0023976564407349,2.6716697216033936,-1.2428207397460938,-0.1876111924648285,0.9147799611091614,1.769340991973877
GAPDH,-1.3867652416229248,1.223795771598816,-1.6691348552703857,1.320481777191162,2.569462537765503,-1.4155464172363281,-1.2466009855270386,1.1237454414367676,1.076041340827942
SLC25A5,-0.7194762825965881,0.909892201423645,-0.9738289713859558,-0.2726554274559021,3.1670703887939453,-2.780121088027954,1.3154702186584473,2.0164413452148438,0.5990782976150513
HMGN1,0.26448190212249756,-1.005181908607483,-1.90146005153656,0.15837860107421875,2.7802412509918213,-2.377117872238159,0.28930315375328064,-0.4172387421131134,0.3050597012042999
HMGN2,0.32672157883644104,-0.5099335312843323,-2.249439239501953,-0.184160977602005,3.2587075233459473,-2.440941095352173,0.4346991181373596,-0.015033665113151073,-0.223965123295784
HMGB1,0.3897649347782135,-0.28585928678512573,-2.141144037246704,0.22052055597305298,2.334646463394165,-2.3475892543792725,-0.17405031621456146,0.8222483396530151,-0.47871094942092896
H3F3A,0.3367900848388672,1.328362226486206,-2.058176040649414,-0.19118882715702057,1.8520290851593018,-3.0015616416931152,0.6764931082725525,0.8834816217422485,1.046440839767456
ARPC2,-0.6838692426681519,0.9102781414985657,-1.6700046062469482,0.7098153829574585,2.1591813564300537,-2.0489251613616943,0.6236905455589294,-0.09119294583797455,1.1521974802017212
ACTB,0.3451257348060608,1.8209651708602905,-4.973951816558838,1.13385808467865,1.9289321899414062,-0.23242445290088654,-0.16146081686019897,0.21368756890296936,2.424356698989868
ANP32B,-0.0905989333987236,-0.06925569474697113,-1.4189702272415161,-0.1381824016571045,2.8596487045288086,-3.936591863632202,0.3835669159889221,0.4703046381473541,0.1559336930513382
ATP5L,-0.40013036131858826,0.20488949120044708,-0.836719274520874,0.4327711760997772,1.7252962589263916,-4.013793468475342,0.7914626002311707,0.16929775476455688,0.13253577053546906
STMN1,-1.7317140102386475,-0.6395086050033569,-2.457775592803955,-0.6007711887359619,5.253861904144287,-2.5098226070404053,2.9004900455474854,2.196901798248291,1.3715989589691162
CFL1,-0.18192799389362335,1.1935644149780273,-3.2354519367218018,0.9583595395088196,1.865166187286377,-2.6757078170776367,0.3387228548526764,0.46436434984207153,1.4745739698410034
PFN1,-0.5604759454727173,1.3486559391021729,-3.159008502960205,1.2332534790039062,2.053180694580078,-2.627890110015869,0.6477216482162476,-0.11829981952905655,1.941812515258789
H2AFV,-1.7142428159713745,0.49197033047676086,-0.7036358118057251,0.5409978032112122,3.1196300983428955,-0.738690197467804,1.5237523317337036,0.9869565963745117,1.1558982133865356
TPT1,0.9213896989822388,-0.004301686305552721,-1.6653348207473755,0.2789332866668701,-0.5139881372451782,-4.212116718292236,0.4490066468715668,0.32009848952293396,-0.008059190586209297
FAU,1.606612205505371,-0.5365090370178223,-1.740221381187439,-0.3579723536968231,-0.07598616927862167,-4.200183868408203,0.044156379997730255,-0.7153671979904175,-0.6404895782470703
PFDN5,1.5553648471832275,0.274219274520874,-2.1206843852996826,-0.25511616468429565,-0.6635026335716248,-5.569112777709961,-0.1945989727973938,-0.7025622725486755,-0.043656062334775925
UBA52,1.4202479124069214,0.03593723475933075,-2.41153883934021,-0.030254391953349113,0.08540866523981094,-4.576533794403076,0.1027996614575386,-0.4730687439441681,0.23223713040351868
B2M,0.2719576358795166,-0.01366335991770029,-1.4367979764938354,0.9742336869239807,-1.422654628753662,2.0564489364624023,0.2725328505039215,-1.8243683576583862,0.661363422870636
RACK1,1.5442858934402466,-1.014370322227478,-1.7295602560043335,-0.3124130070209503,0.40996551513671875,-4.026543617248535,-0.1408819705247879,0.1379142850637436,-0.23028405010700226
EEF1B2,2.1607000827789307,-1.373876929283142,-1.5017045736312866,-0.9085907936096191,-0.08599639683961868,-4.710622787475586,0.07790105044841766,-0.12808766961097717,-0.35404425859451294
TMSB4X,0.9375174641609192,0.461897611618042,-3.459270477294922,0.8854942917823792,0.5064668655395508,-2.708822727203369,-0.013549094088375568,0.06936930119991302,0.6359251737594604
NACA,1.475326657295227,-0.43193796277046204,-1.8311121463775635,-0.32561424374580383,0.11860562115907669,-4.252110004425049,0.544681966304779,0.16316720843315125,-0.14818964898586273
SERF2,-0.35098904371261597,0.8075372576713562,-0.933597207069397,0.3369300961494446,1.4696497917175293,-4.3882341384887695,0.7053781151771545,-0.2237520068883896,0.34422504901885986
FTL,0.7377414703369141,2.98534893989563,-0.08806554973125458,-1.4062849283218384,-1.520387887954712,-3.9421584606170654,0.6720331311225891,1.8775787353515625,-0.4763481616973877
HLA-A,0.15862680971622467,0.2771380543708801,-2.3530681133270264,1.5034734010696411,-1.6167820692062378,2.2570254802703857,0.18456943333148956,-1.198726773262024,0.9911482930183411
ATP5E,-0.37052249908447266,1.0880008935928345,-1.569231390953064,0.8310273885726929,0.5586046576499939,-4.036227226257324,1.3727807998657227,1.1576309204101562,0.7993597984313965
HLA-B,0.24183452129364014,0.45294836163520813,-0.9789873361587524,0.3846553862094879,-0.8957341909408569,1.606889247894287,0.5672211647033691,-1.807592749595642,0.8383626341819763
BTF3,1.0976674556732178,-0.30177703499794006,-2.2363603115081787,-0.023337794467806816,0.9715127944946289,-4.149780750274658,-0.18367397785186768,0.31275954842567444,0.3788546919822693
PLAC8,2.204838752746582,0.8794616460800171,-4.854989051818848,-1.5174624919891357,-3.528750419616699,-2.2161035537719727,5.445687294006348,-1.4469481706619263,-2.3775768280029297
SEC61B,-1.8384898900985718,0.6959814429283142,1.8664470911026,-0.018877727910876274,0.8032917380332947,-2.3123717308044434,3.6457502841949463,0.3513253331184387,2.0229790210723877
GZMB,-8.926270484924316,-3.8254010677337646,-4.579719066619873,5.476325511932373,-1.1765514612197876,0.4618270695209503,6.55965518951416,-3.8529462814331055,-3.5319347381591797
LILRA4,-0.19488106667995453,-0.8316846489906311,-5.442566871643066,-5.394778251647949,-1.8269312381744385,-24.570728302001953,9.364333152770996,-24.565465927124023,-24.561967849731445
IRF7,-1.0728365182876587,1.1212655305862427,0.45625680685043335,-0.10660170018672943,-0.6563221216201782,-0.23971280455589294,5.423292636871338,-1.017618179321289,0.6035645008087158
GPX1,0.009479677304625511,3.634925127029419,-1.1548265218734741,-1.0640710592269897,-0.7805550694465637,-4.444602012634277,3.8120410442352295,1.1791146993637085,1.9948474168777466
TXN,-2.2467358112335205,1.9735370874404907,0.03261563926935196,0.7041659951210022,0.2715573310852051,-4.174716949462891,4.30148458480835,3.6146438121795654,5.16208553314209
CXCR3,-2.8385190963745117,-2.7971432209014893,-2.5289390087127686,2.3773646354675293,-0.029514944180846214,2.416968822479248,5.574701309204102,-2.7914376258850098,1.3433321714401245
ALOX5AP,-0.7478033900260925,0.5276675820350647,-5.167244911193848,1.296216368675232,1.275215983390808,0.995509147644043,4.00275993347168,0.9301637411117554,-2.2666869163513184
ITM2C,-2.79649019241333,-2.2372212409973145,4.090062618255615,-0.5844095945358276,-2.2543389797210693,-1.411802887916565,4.022218704223633,0.5534005761146545,-2.2508397102355957
PPP1R14B,-0.6547898054122925,0.5024640560150146,-0.8006323575973511,-0.5889959335327148,1.5602248907089233,-26.86374282836914,5.757460117340088,1.4004019498825073,0.2045586258172989
TYROBP,-5.637899398803711,7.67174768447876,-4.71148157119751,-0.6390946507453918,-3.241473913192749,-2.0269460678100586,4.9762163162231445,1.6322885751724243,5.074337482452393
CTSB,-0.9939897656440735,4.574719429016113,-2.162113666534424,-1.1410106420516968,-0.8367300033569336,0.1491079479455948,4.445747375488281,-0.10149236768484116,-0.11873234063386917
CLN8,1.1022326946258545,1.194098949432373,-3.0836925506591797,-1.60968816280365,0.08163852244615555,-1.6569104194641113,5.032927513122559,-1.4146404266357422,-0.8233628869056702
TSPAN13,2.399116277694702,-4.328322410583496,-1.5722302198410034,-4.726300239562988,1.0226796865463257,-3.657898187637329,4.794522762298584,-0.21678707003593445,1.6625765562057495
S100A6,-2.6775097846984863,4.17188024520874,-2.0801751613616943,1.95591402053833,-1.7740663290023804,-0.7406314611434937,2.759840726852417,4.225778579711914,0.2940313518047333
CD74,3.5809109210968018,1.2577078342437744,-2.583819627761841,-3.4099771976470947,1.2384315729141235,-2.475548267364502,2.3935561180114746,-4.857419013977051,2.7439632415771484
TXN,-2.2467358112335205,1.9735370874404907,0.03261563926935196,0.7041659951210022,0.2715573310852051,-4.174716949462891,4.30148458480835,3.6146438121795654,5.16208553314209
CD9,-3.5602610111236572,3.1586968898773193,-1.286132574081421,-0.35260212421417236,1.2596074342727661,-1.0826640129089355,0.28910309076309204,5.906137943267822,-1.7934048175811768
FTH1,1.066458821296692,3.0460383892059326,-2.434154510498047,-0.7316678166389465,-0.42517584562301636,-2.596869707107544,0.8771178722381592,2.0008418560028076,1.227601170539856
FTL,0.7377414703369141,2.98534893989563,-0.08806554973125458,-1.4062849283218384,-1.520387887954712,-3.9421584606170654,0.6720331311225891,1.8775787353515625,-0.4763481616973877
LGALS3,-5.036442279815674,3.6298704147338867,-0.6695483326911926,1.029544711112976,-1.2403275966644287,-1.1764464378356934,-3.213308572769165,4.310427188873291,1.793146014213562
HLA-DPB1,3.618685245513916,1.9283652305603027,-6.064158916473389,-3.091991662979126,0.5172051787376404,-2.3566856384277344,1.7625538110733032,-5.596970558166504,3.612318277359009
CXCR4,2.7463011741638184,-1.3136405944824219,-5.747344017028809,0.06910356879234314,-0.4346328675746918,0.9715971350669861,1.4183429479599,-3.5620548725128174,-0.971127986907959
HLA-DPA1,3.456744432449341,1.942288875579834,-4.5570173263549805,-3.170522928237915,0.7245235443115234,-2.234995126724243,1.696834683418274,-4.145904064178467,3.311070203781128
ISG20,0.029344109818339348,-2.1187450885772705,0.8198325037956238,-0.16661633551120758,1.116585373878479,-2.6767842769622803,0.05519036948680878,-4.843461036682129,-2.319610357284546
BTG1,2.126645565032959,-1.6176238059997559,-4.716361045837402,0.9384983777999878,-0.3598688244819641,0.6718497276306152,-2.792381525039673,-2.4690911769866943,0.4829528033733368
CD79A,3.8037612438201904,-6.30213737487793,0.7541813254356384,-7.152448654174805,1.3240422010421753,-6.805825233459473,-4.6135125160217285,-6.780848503112793,-6.62061882019043
HLA-DRB1,3.1337199211120605,2.66819429397583,-5.111634731292725,-3.2549350261688232,0.8039398789405823,-2.744494915008545,1.8425636291503906,-4.618590831756592,2.9529783725738525
KRT18,-1.1904072761535645,0.23571938276290894,0.1909995675086975,-0.889838457107544,-2.222506046295166,-0.015657301992177963,-24.75310707092285,8.140979766845703,-0.08427056670188904
ALDH2,-1.9196993112564087,4.006682395935059,-0.8589024543762207,-4.499949932098389,0.9077993631362915,-26.709857940673828,3.4566242694854736,2.2234697341918945,6.065446853637695
LAMP3,-5.586848735809326,1.957382321357727,-1.8390576839447021,-0.8766773343086243,0.06321561336517334,-23.554641723632812,0.28179922699928284,1.6216213703155518,10.237031936645508
FSCN1,-2.837763547897339,2.3028061389923096,-4.616728782653809,-1.623217225074768,1.0825177431106567,-23.822669982910156,-0.37109434604644775,2.2387986183166504,9.766547203063965
CSF2RA,-5.736419677734375,6.2289533615112305,-6.8031840324401855,-6.470137596130371,-3.3695051670074463,-26.12142562866211,3.9363486766815186,-1.5866633653640747,7.501055717468262
CCR7,2.6901888847351074,-5.615105152130127,-7.372363090515137,-1.015289545059204,-2.2429118156433105,0.5420735478401184,-0.6375268697738647,-1.2488486766815186,5.78260612487793
TXN,-2.2467358112335205,1.9735370874404907,0.03261563926935196,0.7041659951210022,0.2715573310852051,-4.174716949462891,4.30148458480835,3.6146438121795654,5.16208553314209
RAB9A,-0.5921288728713989,0.2925123870372772,-0.5368064641952515,0.483656108379364,0.26035523414611816,0.10108242928981781,1.0211693048477173,0.07637744396924973,5.1163763999938965
BIRC3,1.1924166679382324,-1.8087507486343384,-2.6558218002319336,0.1635531187057495,0.4316904842853546,-0.0060390629805624485,-1.5474807024002075,-0.7797300219535828,4.788092136383057
TMSB10,0.3840290606021881,1.7196037769317627,-2.9082443714141846,0.7904178500175476,-0.1727486401796341,-3.2324635982513428,0.7746340036392212,0.480173796415329,2.671023368835449
RASSF4,-2.824878454208374,4.604710578918457,-4.3994011878967285,-1.8485007286071777,-1.3382396697998047,-25.16087532043457,0.06969402730464935,0.002137747360393405,7.330145835876465
ATOX1,-1.780868411064148,1.9822745323181152,0.6676971912384033,-0.4233246445655823,1.2726343870162964,-2.1767256259918213,1.6765878200531006,0.3648904860019684,4.100022315979004
TMEM176B,-6.419773101806641,7.406472206115723,-4.9657392501831055,-6.628201484680176,-4.240738868713379,-26.56041145324707,-2.864435911178589,3.1053950786590576,6.259096145629883
TMEM176A,-6.054751396179199,6.199403285980225,-5.6814775466918945,-4.451215744018555,-3.629671812057495,-25.708646774291992,-25.7064208984375,3.189534902572632,7.467793941497803
MARCKS,0.4904631972312927,3.0966334342956543,-0.4161108434200287,-5.756847381591797,-2.0755789279937744,-3.2211356163024902,-3.9974212646484375,0.621718168258667,5.124797344207764
GPX4,-0.4433899223804474,1.3502962589263916,-0.5534855127334595,0.06522935628890991,0.48018860816955566,-2.366051197052002,0.2603415250778198,1.1315604448318481,3.5551679134368896
