,8_n,8_p,8_l,9_n,9_p,9_l
65,NUCKS1,7.694004719357686e-45,2.0081205,NUCKS1,7.694004719357686e-45,-2.0081205
66,DHFR,1.2695582153893858e-44,3.0173655,DHFR,1.2695582153893858e-44,-3.0173655
67,KIF22,1.619479521544779e-44,4.8863726,KIF22,1.619479521544779e-44,-4.8863726
68,CD79B,2.5465358436235357e-44,-1.7824147,CD79B,2.5465358436235357e-44,1.7824147
69,TPI1,5.809023308787453e-44,1.9038448,TPI1,5.809023308787453e-44,-1.9038448
70,MCM7,7.1681759521767e-44,3.2687488,MCM7,7.1681759521767e-44,-3.2687488
71,PTTG1,1.0513541571458223e-43,2.3019388,PTTG1,1.0513541571458223e-43,-2.3019388
72,RAD21,1.2024052838107748e-43,2.5738773,RAD21,1.2024052838107748e-43,-2.5738773
73,DNMT1,1.7943984550764085e-43,2.3659282,DNMT1,1.7943984550764085e-43,-2.3659282
74,SNRPD1,2.1437154263456822e-43,1.9907511,SNRPD1,2.1437154263456822e-43,-1.9907511
75,SNRPG,2.264873751357045e-43,1.8927128,SNRPG,2.264873751357045e-43,-1.8927128
76,RRM1,2.3904660240392247e-42,3.3128211,RRM1,2.3904660240392247e-42,-3.3128211
77,CARHSP1,8.34449160017325e-42,2.1974044,CARHSP1,8.34449160017325e-42,-2.1974044
78,CD79A,1.3525973748327915e-41,-1.8120416,CD79A,1.3525973748327915e-41,1.8120416
79,TPX2,4.717459511476885e-41,4.855025,TPX2,4.717459511476885e-41,-4.855025
80,HNRNPA0,5.851278021091817e-41,2.089831,HNRNPA0,5.851278021091817e-41,-2.089831
81,PFN1,8.979132737937006e-41,1.4417373,PFN1,8.979132737937006e-41,-1.4417373
82,HNRNPAB,1.4413590204247123e-40,3.0165775,HNRNPAB,1.4413590204247123e-40,-3.0165775
83,FEN1,4.259868526207099e-40,4.1536546,FEN1,4.259868526207099e-40,-4.1536546
84,SKA2,6.870275195261925e-40,2.4879355,SKA2,6.870275195261925e-40,-2.4879355
85,H2AFY,1.1806281893851585e-39,2.1201868,H2AFY,1.1806281893851585e-39,-2.1201868
86,HNRNPA2B1,1.2312501517527069e-39,1.4802294,HNRNPA2B1,1.2312501517527069e-39,-1.4802294
87,PIN1,2.8550314515569165e-39,2.4734192,PIN1,2.8550314515569165e-39,-2.4734192
88,GMNN,4.6049548854361226e-39,3.6814585,GMNN,4.6049548854361226e-39,-3.6814585
89,CCDC167,5.06617257198665e-39,2.1881297,CCDC167,5.06617257198665e-39,-2.1881297
90,SUMO2,5.5251773635487517e-39,1.5822096,SUMO2,5.5251773635487517e-39,-1.5822096
91,CCNA2,6.130852708644505e-39,4.755305,CCNA2,6.130852708644505e-39,-4.755305
92,CLSPN,6.325108752556043e-39,4.334806,CLSPN,6.325108752556043e-39,-4.334806
93,CDT1,1.1021704065793295e-38,3.3287833,CDT1,1.1021704065793295e-38,-3.3287833
94,YBX1,1.135010652662025e-38,1.4202226,YBX1,1.135010652662025e-38,-1.4202226
95,PPIA,1.465272597927301e-38,1.4283806,PPIA,1.465272597927301e-38,-1.4283806
96,DDX39A,2.2344529527334977e-38,2.1403098,DDX39A,2.2344529527334977e-38,-2.1403098
97,LMNB1,2.507301672506579e-38,2.6827292,LMNB1,2.507301672506579e-38,-2.6827292
98,ANAPC11,6.939474016822036e-38,2.0187254,ANAPC11,6.939474016822036e-38,-2.0187254
99,PSMA7,8.888905997726666e-38,1.6847638,PSMA7,8.888905997726666e-38,-1.6847638
100,LSM4,1.2330438674387602e-37,2.1099803,LSM4,1.2330438674387602e-37,-2.1099803
101,CRIP1,1.3448852859279567e-37,3.4802427,CRIP1,1.3448852859279567e-37,-3.4802427
102,MS4A1,2.1352916610645542e-37,-1.9595835,MS4A1,2.1352916610645542e-37,1.9595835
103,YEATS4,2.887642376250463e-37,3.202087,YEATS4,2.887642376250463e-37,-3.202087
104,CFL1,3.1005525689868447e-37,1.3179002,CFL1,3.1005525689868447e-37,-1.3179002
105,CBX5,5.0288787822886955e-37,2.314194,CBX5,5.0288787822886955e-37,-2.314194
106,CD74,6.699213141560515e-37,-1.345801,CD74,6.699213141560515e-37,1.345801
107,CCNB2,6.963993153309256e-37,4.611814,CCNB2,6.963993153309256e-37,-4.611814
108,SPC25,9.621324650603498e-37,5.781239,SPC25,9.621324650603498e-37,-5.781239
109,CDCA3,9.653741496366108e-37,5.3479376,CDCA3,9.653741496366108e-37,-5.3479376
110,MRPL51,1.0068228821422923e-36,1.7794884,MRPL51,1.0068228821422923e-36,-1.7794884
111,TMEM106C,1.233821973404585e-36,3.4504812,TMEM106C,1.233821973404585e-36,-3.4504812
112,RALY,2.2596271327275785e-36,2.2416446,RALY,2.2596271327275785e-36,-2.2416446
113,NUF2,5.896233756362552e-36,4.5219526,NUF2,5.896233756362552e-36,-4.5219526
114,NASP,7.4779007135544e-36,2.1933377,NASP,7.4779007135544e-36,-2.1933377
115,PRDX2,7.628396509743441e-36,2.1573,PRDX2,7.628396509743441e-36,-2.1573
116,FABP5,9.607080707202223e-36,2.2570612,FABP5,9.607080707202223e-36,-2.2570612
117,CBX3,1.1282358682327539e-35,1.8688259,CBX3,1.1282358682327539e-35,-1.8688259
118,MND1,1.4389881463587234e-35,2.9070508,MND1,1.4389881463587234e-35,-2.9070508
119,MZT2B,3.991947326950933e-35,1.7559416,MZT2B,3.991947326950933e-35,-1.7559416
120,USP1,4.1117571999340763e-35,2.452993,USP1,4.1117571999340763e-35,-2.452993
