,scNym_confidence
403,0.6439136
404,0.8101815
405,0.7842506
406,0.8349442
407,0.657383
408,0.7112543
409,0.8379779
410,0.63280284
411,0.82417035
412,0.7440953
413,0.6343731
414,0.77974576
415,0.7531775
416,0.72904456
417,0.63613373
418,0.6692747
419,0.82904553
420,0.77409583
421,0.63805735
422,0.7844537
423,0.90030086
424,0.7087508
425,0.8125719
426,0.76676726
427,0.80166084
428,0.7768825
429,0.5881254
430,0.8156884
431,0.8209416
432,0.6492889
433,0.6279182
434,0.7704034
435,0.7579423
436,0.777676
437,0.77255803
438,0.75442654
439,0.7512309
440,0.8029932
441,0.8097291
442,0.7725107
443,0.8259952
444,0.7980991
445,0.7267794
446,0.8172688
447,0.7804734
448,0.8359154
449,0.78239906
450,0.8236726
451,0.80036765
452,0.7948632
453,0.8036205
454,0.802158
455,0.79165673
456,0.76810944
457,0.79472995
458,0.8086988
459,0.6552077
460,0.78533417
461,0.7313593
462,0.65928376
463,0.7626628
464,0.7527687
465,0.79005253
466,0.8231497
467,0.6744933
468,0.6720712
469,0.5964351
470,0.88153946
471,0.8058966
472,0.74265164
473,0.84248406
474,0.77232206
475,0.7519497
476,0.84600294
477,0.75769806
478,0.75925756
479,0.72166115
480,0.7594776
481,0.5954947
482,0.7354473
483,0.7216284
484,0.79771084
485,0.81322753
486,0.78927517
487,0.7711548
488,0.7579445
489,0.7972839
490,0.71653867
491,0.78565097
492,0.7146261
493,0.86953497
494,0.7845528
495,0.75079185
496,0.7592015
497,0.68656
498,0.71322787
499,0.77084965
500,0.79487413
501,0.79453725
502,0.7631287
503,0.7923755
504,0.7392581
505,0.5986076
506,0.66400516
507,0.7240496
508,0.76194686
509,0.8004344
510,0.79255426
511,0.78752524
512,0.70614797
513,0.75356966
514,0.677722
515,0.61414266
516,0.6392193
517,0.80370134
518,0.7462304
519,0.8731023
520,0.632873
521,0.7966972
522,0.726712
523,0.8298694
524,0.7702198
525,0.79420453
526,0.7224424
527,0.8176341
528,0.6059523
529,0.79509765
530,0.77357936
531,0.774207
532,0.80923885
533,0.79009765
534,0.7759031
535,0.626707
536,0.7750854
537,0.7798808
538,0.805054
539,0.6587129
540,0.6539597
541,0.8257286
542,0.7635889
543,0.7544989
544,0.7903378
545,0.78090006
546,0.75211
547,0.65852857
548,0.6283992
549,0.6424695
550,0.8162766
551,0.6131136
552,0.7917835
553,0.58161557
554,0.84441215
555,0.7577622
556,0.867086
557,0.7859396
558,0.79543346
559,0.83266526
560,0.79955864
561,0.7470693
562,0.81262714
563,0.7442927
564,0.7983563
565,0.59087944
566,0.8423676
567,0.81713694
568,0.64767456
569,0.66210884
570,0.7452157
571,0.7381662
572,0.7633817
573,0.79777575
574,0.7948866
575,0.7145785
576,0.73590887
577,0.74431545
578,0.68694973
579,0.681512
580,0.78610563
581,0.7840691
582,0.85947865
583,0.67263895
584,0.7713082
585,0.8146814
586,0.7780598
587,0.8025842
588,0.8109394
589,0.7846831
590,0.8566133
591,0.62577677
592,0.70013505
593,0.63298744
594,0.79091626
595,0.7816026
596,0.74808526
597,0.6509592
598,0.64953154
599,0.8216089
600,0.6856737
601,0.6740361
602,0.7795556
603,0.7819237
604,0.6447312
605,0.7944553
606,0.7877374
607,0.7766705
608,0.689661
609,0.7869593
610,0.771259
611,0.74448436
612,0.7897444
613,0.7620186
614,0.8572782
615,0.80855745
616,0.84128296
617,0.7721245
618,0.77462035
619,0.79254997
620,0.7408752
621,0.74758136
622,0.7166951
623,0.69078934
624,0.5984299
625,0.6472102
626,0.75179183
627,0.7735721
628,0.6827939
629,0.78230673
630,0.7674764
631,0.79811245
632,0.7397376
633,0.759275
634,0.78046316
635,0.5802976
636,0.7598107
637,0.6039245
638,0.74119157
639,0.7814584
640,0.8145118
641,0.7457419
642,0.7677554
643,0.77586204
644,0.7092407
645,0.80218184
646,0.74047434
647,0.8473752
648,0.7233194
649,0.78025293
650,0.73522216
651,0.7110122
652,0.74627244
653,0.68241453
654,0.5945084
655,0.788974
656,0.75411814
657,0.69970316
658,0.7632256
659,0.7469187
660,0.8359839
661,0.73532885
662,0.70798594
663,0.81405616
664,0.8238443
665,0.73901576
666,0.7758329
667,0.72291756
668,0.6713163
669,0.7099174
670,0.7573149
671,0.55668163
