"","x"
"640",3
"641",7
"642",6
"643",8
"644",7
"645",2
"646",5
"647",0
"648",3
"649",6
"650",6
"651",2
"652",0
"653",0
"654",6
"655",3
"656",4
"657",2
"658",0
"659",1
"660",0
"661",1
"662",1
"663",2
"664",1
"665",7
"666",2
"667",8
"668",3
"669",6
"670",6
"671",2
"672",7
"673",1
"674",2
"675",2
"676",0
"677",1
"678",3
"679",0
"680",1
"681",6
"682",4
"683",2
"684",6
"685",0
"686",7
"687",1
"688",4
"689",3
"690",0
"691",3
"692",2
"693",0
"694",1
"695",2
"696",0
"697",7
"698",0
"699",6
"700",5
"701",2
"702",2
"703",4
"704",7
"705",8
"706",1
"707",7
"708",1
"709",0
"710",1
"711",1
"712",4
"713",0
"714",7
"715",4
"716",3
"717",0
"718",0
"719",0
"720",6
"721",1
"722",0
"723",1
"724",8
"725",7
"726",0
"727",1
"728",0
"729",7
"730",1
"731",3
"732",2
"733",3
"734",0
"735",2
"736",4
"737",1
"738",6
"739",5
"740",0
"741",7
"742",1
"743",6
"744",2
"745",5
"746",1
"747",0
"748",0
"749",4
"750",1
"751",6
"752",3
"753",8
"754",6
"755",5
"756",1
"757",1
"758",7
"759",3
"760",0
"761",2
"762",5
"763",6
"764",1
"765",5
"766",1
"767",0
"768",2
"769",1
"770",8
"771",0
"772",3
"773",5
"774",0
"775",0
"776",0
"777",4
"778",3
"779",7
"780",2
"781",0
"782",3
"783",7
"784",5
"785",0
"786",5
"787",3
"788",0
"789",6
"790",1
"791",2
"792",1
"793",0
"794",3
"795",0
"796",8
"797",7
"798",8
"799",5
"800",5
"801",1
"802",2
"803",2
"804",1
"805",5
"806",4
"807",1
"808",4
"809",8
"810",5
"811",3
"812",0
"813",6
"814",6
"815",3
"816",2
"817",8
"818",0
"819",2
"820",2
"821",1
"822",3
"823",1
"824",2
"825",6
"826",3
"827",1
"828",1
"829",0
"830",1
"831",7
"832",7
"833",0
"834",7
"835",4
"836",0
"837",8
"838",2
"839",3
"840",0
"841",4
"842",1
"843",6
"844",0
"845",0
"846",1
"847",3
"848",7
"849",8
"850",4
"851",1
"852",0
"853",3
"854",2
"855",4
"856",0
"857",5
"858",8
"859",2
"860",2
"861",0
"862",0
"863",5
"864",3
"865",6
"866",1
"867",8
"868",0
"869",2
"870",8
"871",1
"872",0
"873",0
"874",5
"875",6
"876",6
"877",3
"878",2
"879",1
"880",2
"881",3
"882",3
"883",1
"884",3
